Accession,GOids,GOterms,Score,Signal Peptide,Mitochondrion Transit Peptide,Chloroplast Transit Peptide,Transmembrane Alpha Helix,Transmembrane Beta Strand,GPI-anchor
Shae__MS3_00004657,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00004774,GO:0005737,C:cytoplasm,1.0,,,,,,
Shae__MS3_00005021,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00005028,GO:0005886,C:plasma membrane,0.9,,,,502-531;707-723,,
Shae__MS3_00005037,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00005166,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00005180,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00005251,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00005260,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00005288,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00005371,GO:0005886,C:plasma membrane,0.74,1-23,,,440-466,,
Shae__MS3_00005382,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00005586,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00005588,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00005610,GO:0005615,C:extracellular space,0.75,1-24,,,,,
Shae__MS3_00005611,GO:0005615,C:extracellular space,1.0,,,,,,
Shae__MS3_00005632,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00005799,GO:0005886,C:plasma membrane,0.85,,,,242-253,,
Shae__MS3_00006013,GO:0031090,C:organelle membrane,0.73,,,,1289-1313,,
Shae__MS3_00006076,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00006229,GO:0012505,C:endomembrane system,0.65,,,,520-531,,
Shae__MS3_00006308,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00006313,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00006333,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00006334,GO:0012505,C:endomembrane system,0.85,,,,299-323,,
Shae__MS3_00006521,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00006556,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00006560,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00006566,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00006657,GO:0012505,C:endomembrane system,0.93,,,,117-137,,
Shae__MS3_00006730,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00006767,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00006934,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00007047,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00007109,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00007112,GO:0012505,C:endomembrane system,0.87,1-24,,,416-435;649-660;723-737,,
Shae__MS3_00007174,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00007266,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00007339,GO:0005886,C:plasma membrane,0.77,,,,137-165,,
Shae__MS3_00007343,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00007363,GO:0005886,C:plasma membrane,0.93,,,,12-33,,
Shae__MS3_00007411,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00007430,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00007449,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00007496,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00007604,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00007688,GO:0005739,C:mitochondrion,0.79,,,,,,
Shae__MS3_00007700,GO:0005739,C:mitochondrion,1.0,,,,,,
Shae__MS3_00007701,GO:0005615,C:extracellular space,1.0,,,,,,
Shae__MS3_00007742,GO:0005886,C:plasma membrane,0.76,,,,3-23;977-988;1173-1198,,
Shae__MS3_00007880,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00007970,GO:0005886,C:plasma membrane,0.89,,,,126-143,,
Shae__MS3_00008020,GO:0031090,C:organelle membrane,0.79,,,,133-158,,
Shae__MS3_00008061,GO:0005886,C:plasma membrane,0.78,,,,122-133,,
Shae__MS3_00008174,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00008190,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00008194,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00008246,GO:0005737,C:cytoplasm,1.0,,,,,,
Shae__MS3_00008247,GO:0005737,C:cytoplasm,0.62,,,,,,
Shae__MS3_00008251,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00008284,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00008566,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00008601,GO:0012505,C:endomembrane system,0.66,,,,97-108;241-252,,
Shae__MS3_00008614,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00008660,GO:0005737,C:cytoplasm,1.0,,,,,,
Shae__MS3_00008661,GO:0005737,C:cytoplasm,1.0,,,,,,
Shae__MS3_00008672,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00008673,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00008679,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00008682,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00008685,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00008738,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00008744,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00008746,GO:0005737,C:cytoplasm,0.84,,,,,,
Shae__MS3_00008957,GO:0005615,C:extracellular space,0.97,1-20,,,,,
Shae__MS3_00008971,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00008988,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00009095,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00009134,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00009264,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00009375,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00009432,GO:0031090,C:organelle membrane,0.8,,,,182-193,,
Shae__MS3_00009653,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00009666,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00009762,GO:0012505,C:endomembrane system,0.91,,,,1071-1087,,
Shae__MS3_00009865,GO:0005886,C:plasma membrane,0.94,1-25,,,793-823,,
Shae__MS3_00009872,GO:0005886,C:plasma membrane,0.78,1-19,,,1311-1336,,
Shae__MS3_00010057,GO:0005886,C:plasma membrane,0.94,,,,12-34,,
Shae__MS3_00010191,GO:0005615,C:extracellular space,1.0,,,,,,
Shae__MS3_00010367,GO:0012505,C:endomembrane system,0.71,,,,3-27,,
Shae__MS3_00010396,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00010441,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00010478,GO:0031090,C:organelle membrane,0.62,,,,94-110;183-194,,
Shae__MS3_00010577,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00010729,GO:0012505,C:endomembrane system,0.82,,,,106-117,,
Shae__MS3_00010803,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00010929,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00011141,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00011163,GO:0005737,C:cytoplasm,1.0,,,,,,
Sjap__EWB00_000274,GO:0005615,C:extracellular space,0.95,1-25,,,,,
Sjap__EWB00_000320,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_000422,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_000516,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_000751,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_000811,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_001036,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_001091,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_001102,GO:0005615,C:extracellular space,1.0,1-25,,,,,
Sjap__EWB00_001225,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_001228,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_001311,GO:0005615,C:extracellular space,0.94,,,,,,
Sjap__EWB00_001328,GO:0005886,C:plasma membrane,0.83,,,,20-42;2684-2695,,
Sjap__EWB00_001343,GO:0005739,C:mitochondrion,1.0,,,,,,
Sjap__EWB00_001391,GO:0005739,C:mitochondrion,1.0,,,,,,
Sjap__EWB00_001408,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_001471,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_001594,GO:0005886,C:plasma membrane,0.88,,,,130-157,,
Sjap__EWB00_001618,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_001961,GO:0012505,C:endomembrane system,0.87,,,,97-108;241-252,,
Sjap__EWB00_002103,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_002182,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_002194,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_002313,GO:0005615,C:extracellular space,0.99,1-19,,,,,
Sjap__EWB00_002386,GO:0012505,C:endomembrane system,0.75,,,,255-266;369-380,,
Sjap__EWB00_002413,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_002502,GO:0005737,C:cytoplasm,1.0,,,,,,
Sjap__EWB00_002531,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_002741,GO:0005615,C:extracellular space,1.0,1-18,,,,,
Sjap__EWB00_002775,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_002781,GO:0012505,C:endomembrane system,0.62,,,,31-42;214-225,,
Sjap__EWB00_002797,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_002869,GO:0005886,C:plasma membrane,0.86,,,,746-775,,
Sjap__EWB00_002899,GO:0012505,C:endomembrane system,0.86,,,,419-441;660-671;726-741,,
Sjap__EWB00_002919,GO:0005886,C:plasma membrane,0.87,,,,3-24,,
Sjap__EWB00_003063,GO:0005615,C:extracellular space,1.0,,,,,,
Sjap__EWB00_003065,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_003104,GO:0012505,C:endomembrane system,0.76,,,,401-412;440-456,,
Sjap__EWB00_003107,GO:0005615,C:extracellular space,1.0,1-21,,,,,
Sjap__EWB00_003114,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_003146,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_003272,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_003359,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_003429,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_003470,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_003565,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_003590,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_003639,GO:0012505,C:endomembrane system,0.88,,,,1269-1294,,
Sjap__EWB00_003710,GO:0012505,C:endomembrane system,0.73,,,,111-122;242-253,,
Sjap__EWB00_003747,GO:0012505,C:endomembrane system,0.88,,,,1021-1032;1064-1080,,
Sjap__EWB00_003876,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_003952,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_004095,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_004122,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_004137,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_004179,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_004196,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_004212,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_004325,GO:0012505,C:endomembrane system,0.79,,,,232-250;606-617;727-738,,
Sjap__EWB00_004368,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_004406,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_004629,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_004650,GO:0005739,C:mitochondrion,0.69,,,,,,
Sjap__EWB00_004811,GO:0005739,C:mitochondrion,1.0,,,,,,
Sjap__EWB00_004872,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_004876,GO:0005737,C:cytoplasm,1.0,,,,,,
Sjap__EWB00_004878,GO:0005737,C:cytoplasm,1.0,,,,,,
Sjap__EWB00_004965,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_005112,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_005166,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_005385,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_005467,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_005528,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_005624,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_005849,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_005902,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_006002,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_006050,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_006126,GO:0005615,C:extracellular space,0.98,1-20,,,,,
Sjap__EWB00_006199,GO:0005615,C:extracellular space,1.0,,,,,,
Sjap__EWB00_006200,GO:0005615,C:extracellular space,0.73,1-33,,,,,
Sjap__EWB00_006201,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_006209,GO:0012505,C:endomembrane system,0.82,,,,1217-1240,,
Sjap__EWB00_006234,GO:0005886,C:plasma membrane,0.88,,,,242-253,,
Sjap__EWB00_006315,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_006350,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_006505,GO:0005737,C:cytoplasm,0.51,,,,,,
Sjap__EWB00_006602,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_006607,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_006747,GO:0012505,C:endomembrane system,0.7,,,,384-395,,
Sjap__EWB00_006779,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_007161,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_007221,GO:0012505,C:endomembrane system,0.62,,,,389-400;465-478,,
Sjap__EWB00_007274,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_007322,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_007395,GO:0005615,C:extracellular space,0.7,,,,,,
Sjap__EWB00_007426,GO:0005737,C:cytoplasm,1.0,,,,,,
Sjap__EWB00_007512,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_007517,GO:0005737,C:cytoplasm,0.82,,,,,,
Sjap__EWB00_007519,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_007520,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_007640,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_007650,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_007721,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_007739,GO:0005739,C:mitochondrion,0.52,,1-29,,,,
Sjap__EWB00_007873,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_007959,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_007965,GO:0005886,C:plasma membrane,0.87,,,,488-515;637-648;689-704,,
Sjap__EWB00_008035,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_008162,GO:0012505,C:endomembrane system,0.73,,,,8-35;181-192;214-229,,
Sjap__EWB00_008189,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_008231,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_008239,GO:0005615,C:extracellular space,0.83,1-23,,,,,
Sjap__EWB00_008286,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_008372,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_008528,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_008648,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_008683,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_008724,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_008747,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_008748,GO:0012505,C:endomembrane system,0.93,,,,176-199,,
Sjap__EWB00_008807,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_008857,GO:0005737,C:cytoplasm,1.0,,,,,,
Sjap__EWB00_008932,GO:0012505,C:endomembrane system,0.73,,,,69-80;194-205,,
Sjap__EWB00_008993,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_009095,GO:0005886,C:plasma membrane,0.81,,,,605-620,,
Sjap__EWB00_009117,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_009122,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_009161,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_009162,GO:0005737,C:cytoplasm,1.0,,,,,,
Sjap__EWB00_009224,GO:0012505,C:endomembrane system,0.83,,,,180-206,,
Sjap__EWB00_009267,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_009287,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_009305,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_009358,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_009388,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_009456,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_009479,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_009480,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_009541,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_009560,GO:0005737,C:cytoplasm,0.71,,,,,,
Sjap__EWB00_009605,GO:0012505,C:endomembrane system,0.68,,,,268-279,,
Sjap__EWB00_009781,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_010219,GO:0005634,C:nucleus,1.0,,,,,,
Sjap__EWB00_010398,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_010448,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_010449,GO:0005615,C:extracellular space,1.0,,,,,,
Sjap__EWB00_010450,GO:0005886,C:plasma membrane,0.94,,,,2-20,,
Sjap__EWB00_010647,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_010649,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_010687,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_010727,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_011039,GO:0046658,C:anchored component of plasma membrane,0.96,1-22,,,,,1178-1178
Sjap__EWB00_011156,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_011263,GO:0005737,C:cytoplasm,0.7,,,,,,
Sjap__EWB00_011320,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_000100,GO:0005886,C:plasma membrane,0.85,,,,243-254,,
Sman__Smp_003000,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_006920,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_008260,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_009540,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_009600,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_009800,GO:0031090,C:organelle membrane,0.55,,,,209-220;418-429;544-555;757-768,,
Sman__Smp_011660,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_011700,GO:0012505,C:endomembrane system,0.86,,,,271-297,,
Sman__Smp_012740,GO:0005886,C:plasma membrane,0.76,,,,160-171,,
Sman__Smp_014780,GO:0012505,C:endomembrane system,0.88,,,,118-138,,
Sman__Smp_020540,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_026510,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_034550,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_040190,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_044530,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_047870,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_047900,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_048560,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_049760,GO:0031090,C:organelle membrane,0.77,,,,133-157,,
Sman__Smp_053420,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_053560,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_058620,GO:0005739,C:mitochondrion,1.0,,,,,,
Sman__Smp_058790,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_063040,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_064040,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_065290,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_068960,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_070640,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_072870,GO:0005737,C:cytoplasm,1.0,,,,,,
Sman__Smp_073340,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_073490,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_073510,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_074080,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_077180,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_077850,GO:0005737,C:cytoplasm,0.85,,,,,,
Sman__Smp_077860,GO:0005737,C:cytoplasm,1.0,,,,,,
Sman__Smp_078230,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_079760,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_080730,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_080920,GO:0005737,C:cytoplasm,0.7,,,,,,
