# SignalP-6.0	Organism: Eukarya	Timestamp: 20260919223352
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
Sjap__EWB00_006815	OTHER	0.999995	0.000000	
Sjap__EWB00_007901	OTHER	1.000000	0.000000	
Sjap__EWB00_009052	OTHER	1.000000	0.000000	
Sjap__EWB00_009360	SP	0.000180	0.999845	CS pos: 19-20. Pr: 0.8911
Sjap__EWB00_009592	OTHER	1.000000	0.000000	
Sjap__EWB00_010663	OTHER	0.892418	0.107581	
Sjap__EWB00_011116	OTHER	1.000000	0.000000	
Sman__Smp_024660	SP	0.004594	0.995400	CS pos: 23-24. Pr: 0.8046
Sman__Smp_080870	SP	0.000162	0.999850	CS pos: 19-20. Pr: 0.9732
Sman__Smp_124210	SP	0.000158	0.999849	CS pos: 21-22. Pr: 0.9779
Sman__Smp_126240	OTHER	1.000000	0.000000	
Sman__Smp_130070	SP	0.333580	0.666406	CS pos: 51-52. Pr: 0.6481
Sman__Smp_132700	OTHER	0.832526	0.167471	
Sman__Smp_148020	SP	0.000201	0.999817	CS pos: 33-34. Pr: 0.9824
Sman__Smp_152750	SP	0.000227	0.999777	CS pos: 25-26. Pr: 0.5742
Sman__Smp_153170	OTHER	1.000000	0.000000	
Sman__Smp_157620	SP	0.000172	0.999841	CS pos: 36-37. Pr: 0.4249
Sman__Smp_159450	SP	0.000251	0.999769	CS pos: 29-30. Pr: 0.9816
Sman__Smp_164270	OTHER	0.999976	0.000000	
Sman__Smp_169380	SP	0.000161	0.999846	CS pos: 20-21. Pr: 0.9830
Sman__Smp_171460	SP	0.000153	0.999858	CS pos: 18-19. Pr: 0.9821
Sman__Smp_171680	SP	0.000203	0.999803	CS pos: 27-28. Pr: 0.9785
Sman__Smp_173100	OTHER	1.000000	0.000000	
Sman__Smp_176350	SP	0.000173	0.999820	CS pos: 14-15. Pr: 0.9818
Sman__Smp_181250	SP	0.000179	0.999842	CS pos: 23-24. Pr: 0.9026
Sman__Smp_204750	SP	0.000297	0.999720	CS pos: 19-20. Pr: 0.9832
Sman__Smp_244080	SP	0.007390	0.992629	CS pos: 26-27. Pr: 0.5284
Sman__Smp_266820	OTHER	1.000000	0.000000	
Sman__Smp_303910	OTHER	1.000000	0.000000	
Sman__Smp_311870	SP	0.026654	0.973377	CS pos: 33-34. Pr: 0.9312
Sman__Smp_332470	OTHER	1.000000	0.000000	
Sman__Smp_342880	SP	0.000238	0.999781	CS pos: 31-32. Pr: 0.9893
Sman__Smp_343680	OTHER	0.999413	0.000570	
Sman__Smp_344760	SP	0.000160	0.999856	CS pos: 21-22. Pr: 0.9837
Sman__Smp_346180	OTHER	0.999959	0.000000	
Sman__Smp_346250	SP	0.488198	0.511808	CS pos: 13-14. Pr: 0.4845
