#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-3B342CFC10A60D52-15DD9710BB02EE2C
#datatype	hitsFull Results
#status	0
#Start time	2026-09-19T18:34:27	Run time	0:00:02:12
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#3 - >Shae__MS3_00000487	specific	238012	856	907	6.25911e-06	45.0378	cd00055	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	superfamily	473889	856	907	6.25911e-06	45.0378	cl21504	EGF_CA superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	specific	395007	857	909	6.47884e-06	44.6517	pfam00053	Laminin_EGF	 - 	cl21504
Q#3 - >Shae__MS3_00000487	non-specific	428797	1418	1662	1.1799e-05	50.2377	pfam06160	EzrA	C	cl38199
Q#3 - >Shae__MS3_00000487	superfamily	428797	1418	1662	1.1799e-05	50.2377	cl38199	EzrA superfamily	C	 - 
Q#3 - >Shae__MS3_00000487	non-specific	235175	1398	1741	1.40577e-05	50.0624	PRK03918	PRK03918	C	cl35229
Q#3 - >Shae__MS3_00000487	superfamily	235175	1398	1741	1.40577e-05	50.0624	cl35229	PRK03918 superfamily	C	 - 
Q#3 - >Shae__MS3_00000487	specific	395007	508	546	2.14687e-05	43.4961	pfam00053	Laminin_EGF	C	cl21504
Q#3 - >Shae__MS3_00000487	specific	395007	334	394	3.30779e-05	42.7257	pfam00053	Laminin_EGF	 - 	cl21504
Q#3 - >Shae__MS3_00000487	superfamily	473889	334	394	3.30779e-05	42.7257	cl21504	EGF_CA superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	non-specific	274008	1121	1750	4.90557e-05	48.5143	TIGR02168	SMC_prok_B	NC	cl37069
Q#3 - >Shae__MS3_00000487	superfamily	274008	1121	1750	4.90557e-05	48.5143	cl37069	SMC_prok_B superfamily	NC	 - 
Q#3 - >Shae__MS3_00000487	non-specific	442439	1461	1669	9.46465e-05	47.3189	COG3206	GumC	NC	cl34566
Q#3 - >Shae__MS3_00000487	superfamily	442439	1461	1669	9.46465e-05	47.3189	cl34566	GumC superfamily	NC	 - 
Q#3 - >Shae__MS3_00000487	specific	238012	269	322	9.99262e-05	41.571	cd00055	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	superfamily	473889	269	322	9.99262e-05	41.571	cl21504	EGF_CA superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	non-specific	274008	1393	1673	0.000150739	46.9735	TIGR02168	SMC_prok_B	C	cl37069
Q#3 - >Shae__MS3_00000487	non-specific	227392	1419	1730	0.000236385	45.8853	COG5059	KIP1	N	cl22853
Q#3 - >Shae__MS3_00000487	superfamily	473979	1419	1730	0.000236385	45.8853	cl22853	Motor_domain superfamily	N	 - 
Q#3 - >Shae__MS3_00000487	non-specific	274008	1476	1730	0.000288714	45.8179	TIGR02168	SMC_prok_B	C	cl37069
Q#3 - >Shae__MS3_00000487	specific	238012	334	387	0.000322083	40.0302	cd00055	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	non-specific	274009	1398	1740	0.000349997	45.4439	TIGR02169	SMC_prok_A	N	cl47134
Q#3 - >Shae__MS3_00000487	superfamily	481474	1398	1740	0.000349997	45.4439	cl47134	SMC_N superfamily	N	 - 
Q#3 - >Shae__MS3_00000487	non-specific	234750	1455	1583	0.000458694	45.2027	PRK00409	PRK00409	N	cl29770
Q#3 - >Shae__MS3_00000487	superfamily	234750	1455	1583	0.000458694	45.2027	cl29770	PRK00409 superfamily	N	 - 
Q#3 - >Shae__MS3_00000487	specific	214543	291	320	0.000988377	38.4463	smart00180	EGF_Lam	N	cl21504
Q#3 - >Shae__MS3_00000487	non-specific	462951	1397	1522	0.000994919	39.8797	pfam10046	BLOC1_2	 - 	cl10824
Q#3 - >Shae__MS3_00000487	superfamily	462951	1397	1522	0.000994919	39.8797	cl10824	BLOC1_2 superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	non-specific	440951	1433	1620	0.0011025	42.9756	COG1340	COG1340	N	cl34231
Q#3 - >Shae__MS3_00000487	superfamily	440951	1433	1620	0.0011025	42.9756	cl34231	COG1340 superfamily	N	 - 
Q#3 - >Shae__MS3_00000487	non-specific	442439	1170	1326	0.00148419	43.4669	COG3206	GumC	NC	cl34566
Q#3 - >Shae__MS3_00000487	non-specific	425996	1492	1552	0.00173167	41.0541	pfam01025	GrpE	C	cl03075
Q#3 - >Shae__MS3_00000487	superfamily	446000	1492	1552	0.00173167	41.0541	cl03075	GrpE superfamily	C	 - 
Q#3 - >Shae__MS3_00000487	non-specific	274009	1447	1663	0.00189308	43.1327	TIGR02169	SMC_prok_A	NC	cl47134
Q#3 - >Shae__MS3_00000487	non-specific	274009	1121	1325	0.00239771	42.7475	TIGR02169	SMC_prok_A	C	cl47134
Q#3 - >Shae__MS3_00000487	specific	214543	857	905	0.00292044	37.2907	smart00180	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	non-specific	443941	1209	1327	0.00385341	42.2097	COG4913	COG4913	NC	cl25907
Q#3 - >Shae__MS3_00000487	superfamily	443941	1209	1327	0.00385341	42.2097	cl25907	COG4913 superfamily	NC	 - 
Q#3 - >Shae__MS3_00000487	non-specific	395007	293	323	0.00431459	36.9477	pfam00053	Laminin_EGF	N	cl21504
Q#3 - >Shae__MS3_00000487	non-specific	237177	1487	1644	0.00806546	40.917	PRK12704	PRK12704	C	cl36166
Q#3 - >Shae__MS3_00000487	superfamily	237177	1487	1644	0.00806546	40.917	cl36166	PRK12704 superfamily	C	 - 
Q#3 - >Shae__MS3_00000487	non-specific	240419	1216	1748	0.00841359	41.3556	PTZ00440	PTZ00440	N	cl36566
Q#3 - >Shae__MS3_00000487	superfamily	240419	1216	1748	0.00841359	41.3556	cl36566	PTZ00440 superfamily	N	 - 
Q#3 - >Shae__MS3_00000487	non-specific	240419	1156	1742	0.00899867	40.9704	PTZ00440	PTZ00440	C	cl36566
Q#3 - >Shae__MS3_00000487	non-specific	440809	1469	1667	0.00920284	41.0756	COG1196	Smc	NC	cl34174
Q#3 - >Shae__MS3_00000487	superfamily	440809	1469	1667	0.00920284	41.0756	cl34174	Smc superfamily	NC	 - 
Q#3 - >Shae__MS3_00000487	non-specific	441187	1274	1327	0.00945402	39.5229	COG1579	DR0291	C	cl34310
Q#3 - >Shae__MS3_00000487	superfamily	441187	1274	1327	0.00945402	39.5229	cl34310	DR0291 superfamily	C	 - 
Q#4 - >Shae__MS3_00000825	non-specific	466823	183	375	9.77269e-105	321.236	cd10224	ASKHA_NBD_actin	C	cl49607
Q#4 - >Shae__MS3_00000825	superfamily	483947	183	375	9.77269e-105	321.236	cl49607	ASKHA_ATPase-like superfamily	C	 - 
Q#4 - >Shae__MS3_00000825	non-specific	466848	183	373	7.99482e-88	277.145	cd13397	ASKHA_NBD_actin_Arp-T1-3	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	173506	179	375	4.62985e-87	275.81	PTZ00281	PTZ00281	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	240225	177	373	2.6502e-76	247.76	PTZ00004	PTZ00004	C	cl49607
Q#4 - >Shae__MS3_00000825	specific	214592	186	373	9.52353e-62	209.036	smart00268	ACTIN	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	466820	186	374	1.4243e-60	205.857	cd10216	ASKHA_NBD_Arp1	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	394979	182	371	2.32353e-51	182.119	pfam00022	Actin	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	466821	186	382	4.96742e-47	169.667	cd10220	ASKHA_NBD_Arp2	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	185631	184	375	8.45432e-47	169.165	PTZ00452	PTZ00452	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	240426	186	373	1.78662e-46	168.198	PTZ00466	PTZ00466	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	466810	246	385	3.80481e-42	152.645	cd10169	ASKHA_NBD_actin-like	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	466819	180	373	5.92855e-41	152.577	cd10214	ASKHA_NBD_ACTL7	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	240343	184	373	1.08186e-36	141.793	PTZ00280	PTZ00280	C	cl29668
Q#4 - >Shae__MS3_00000825	superfamily	240343	184	373	1.08186e-36	141.793	cl29668	PTZ00280 superfamily	C	 - 
Q#4 - >Shae__MS3_00000825	non-specific	466822	184	369	4.80084e-36	139.626	cd10221	ASKHA_NBD_Arp3-like	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	444088	205	373	2.1428e-31	126.828	COG5277	COG5277	C	cl44206
Q#4 - >Shae__MS3_00000825	superfamily	444088	205	373	2.1428e-31	126.828	cl44206	COG5277 superfamily	C	 - 
Q#4 - >Shae__MS3_00000825	non-specific	466846	180	371	2.11971e-23	103.029	cd13395	ASKHA_NBD_Arp4_ACTL6-like	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	466815	209	373	6.36363e-16	79.741	cd10209	ASKHA_NBD_AtARP7-like	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	461634	388	443	2.84472e-13	67.9235	pfam05380	Peptidase_A17	N	cl05112
Q#4 - >Shae__MS3_00000825	superfamily	461634	388	443	2.84472e-13	67.9235	cl05112	Peptidase_A17 superfamily	N	 - 
Q#4 - >Shae__MS3_00000825	non-specific	466817	186	369	1.91654e-12	68.7534	cd10211	ASKHA_NBD_Arp5	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	466814	246	371	4.29856e-11	64.6356	cd10208	ASKHA_NBD_ScArp9-like	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	466816	186	361	2.44068e-07	53.3234	cd10210	ASKHA_NBD_Arp6	C	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	466847	304	347	0.000105783	44.843	cd13396	ASKHA_NBD_AtArp8-like	NC	cl49607
Q#4 - >Shae__MS3_00000825	non-specific	466813	295	373	0.000150772	44.5508	cd10207	ASKHA_NBD_Arp10	NC	cl49607
Q#5 - >Shae__MS3_00000941	specific	460201	1644	1757	8.51941e-46	160.453	pfam01413	C4	 - 	cl02467
Q#5 - >Shae__MS3_00000941	superfamily	470585	1644	1757	8.51941e-46	160.453	cl02467	C4 superfamily	 - 	 - 
Q#5 - >Shae__MS3_00000941	specific	460201	1533	1639	2.11625e-39	142.348	pfam01413	C4	 - 	cl02467
Q#5 - >Shae__MS3_00000941	superfamily	470585	1533	1639	2.11625e-39	142.348	cl02467	C4 superfamily	 - 	 - 
Q#5 - >Shae__MS3_00000941	non-specific	468478	175	427	1.03846e-31	130.41	NF038329	gly_rich_SclB	NC	cl45768
Q#5 - >Shae__MS3_00000941	superfamily	468478	175	427	1.03846e-31	130.41	cl45768	gly_rich_SclB superfamily	NC	 - 
Q#5 - >Shae__MS3_00000941	non-specific	468478	231	481	5.42187e-30	125.403	NF038329	gly_rich_SclB	NC	cl45768
Q#5 - >Shae__MS3_00000941	non-specific	468478	1184	1431	7.70457e-30	125.018	NF038329	gly_rich_SclB	NC	cl45768
Q#5 - >Shae__MS3_00000941	superfamily	468478	1184	1431	7.70457e-30	125.018	cl45768	gly_rich_SclB superfamily	NC	 - 
Q#5 - >Shae__MS3_00000941	non-specific	468478	89	360	1.51276e-29	123.862	NF038329	gly_rich_SclB	NC	cl45768
Q#5 - >Shae__MS3_00000941	non-specific	128421	1532	1641	3.98483e-29	113.254	smart00111	C4	 - 	cl02467
