Orthogroup	Cele	Dmel	Hsap	Mmus	Shae	Sjap	Sman	Xlae	Matched_candidates
OG0001841	Cele__WBGene00006981, Cele__WBGene00017184	Dmel__GeneID_31364	Hsap__GeneID_4684, Hsap__GeneID_4685	Mmus__GeneID_17967, Mmus__GeneID_17968	Shae__MS3_00001233	Sjap__EWB00_002463	Sman__Smp_171460	Xlae__GeneID_108707426, Xlae__GeneID_108709214, Xlae__GeneID_397761, Xlae__GeneID_397762	Shae__MS3_00001233, Sjap__EWB00_002463, Sman__Smp_171460
OG0001933		Dmel__GeneID_2769008, Dmel__GeneID_35652, Dmel__GeneID_38788, Dmel__GeneID_42103	Hsap__GeneID_1826, Hsap__GeneID_57453	Mmus__GeneID_114873, Mmus__GeneID_13508		Sjap__EWB00_003878	Sman__Smp_164270	Xlae__GeneID_108696466, Xlae__GeneID_108697593, Xlae__GeneID_108708870, Xlae__GeneID_735085	Sjap__EWB00_003878, Sman__Smp_164270
OG0002160	Cele__WBGene00007750	Dmel__GeneID_44097, Dmel__GeneID_44129	Hsap__GeneID_4868	Mmus__GeneID_54631	Shae__MS3_00001568, Shae__MS3_00006635	Sjap__EWB00_004279, Sjap__EWB00_006815, Sjap__EWB00_006816	Sman__Smp_130070, Sman__Smp_132700	Xlae__GeneID_734213	Shae__MS3_00001568, Shae__MS3_00006635, Sjap__EWB00_004279, Sjap__EWB00_006815, Sman__Smp_130070, Sman__Smp_132700
OG0002241	Cele__WBGene00016539	Dmel__GeneID_34453	Hsap__GeneID_114088, Hsap__GeneID_440730	Mmus__GeneID_330863, Mmus__GeneID_94090	Shae__MS3_00001541	Sjap__EWB00_004250	Sman__Smp_332470	Xlae__GeneID_108698771, Xlae__GeneID_108699783, Xlae__GeneID_108716120, Xlae__GeneID_108717840	Shae__MS3_00001541, Sjap__EWB00_004250, Sman__Smp_332470
OG0002737			Hsap__GeneID_100131137, Hsap__GeneID_4318, Hsap__GeneID_64100	Mmus__GeneID_17395, Mmus__GeneID_330470, Mmus__GeneID_77684	Shae__MS3_00008826	Sjap__EWB00_005294	Sman__Smp_162300	Xlae__GeneID_100037129, Xlae__GeneID_108702732, Xlae__GeneID_379663	Shae__MS3_00008826, Sjap__EWB00_005294
OG0003038	Cele__WBGene00018215	Dmel__GeneID_33613, Dmel__GeneID_33619		Mmus__GeneID_12483	Shae__MS3_00002199, Shae__MS3_00009394, Shae__MS3_00010227	Sjap__EWB00_002794, Sjap__EWB00_005094	Sman__Smp_181250, Sman__Smp_194780		Shae__MS3_00009394, Sjap__EWB00_005094, Sman__Smp_181250
OG0007305					Shae__MS3_00007223, Shae__MS3_00007225	Sjap__EWB00_003337, Sjap__EWB00_003342	Sman__Smp_173100, Sman__Smp_247330		Shae__MS3_00007223, Sjap__EWB00_003342, Sman__Smp_173100
OG0007310					Shae__MS3_00010298	Sjap__EWB00_007901, Sjap__EWB00_007902	Sman__Smp_153170, Sman__Smp_325490, Sman__Smp_347710		Shae__MS3_00010298, Sjap__EWB00_007901, Sman__Smp_153170
OG0007341			Hsap__GeneID_26095	Mmus__GeneID_19256	Shae__MS3_00011141	Sjap__EWB00_003778	Sman__Smp_346180		Sjap__EWB00_003778, Sman__Smp_346180
OG0007352	Cele__WBGene00006759	Dmel__GeneID_43814			Shae__MS3_00005143	Sjap__EWB00_011116	Sman__Smp_126240		Shae__MS3_00005143, Sjap__EWB00_011116, Sman__Smp_126240
OG0010555					Shae__MS3_00000985, Shae__MS3_00010050	Sjap__EWB00_005238	Sman__Smp_124210		Shae__MS3_00010050, Sjap__EWB00_005238, Sman__Smp_124210
OG0012358					Shae__MS3_00000765	Sjap__EWB00_005510	Sman__Smp_080870		Shae__MS3_00000765, Sjap__EWB00_005510, Sman__Smp_080870
OG0012469					Shae__MS3_00001880	Sjap__EWB00_006185	Sman__Smp_169380		Sjap__EWB00_006185, Sman__Smp_169380
OG0013645					Shae__MS3_00010224	Sjap__EWB00_002960	Sman__Smp_157620		Shae__MS3_00010224, Sjap__EWB00_002960, Sman__Smp_157620
OG0013657					Shae__MS3_00010310	Sjap__EWB00_000873	Sman__Smp_171680		Shae__MS3_00010310, Sjap__EWB00_000873, Sman__Smp_171680
OG0013755					Shae__MS3_00011127	Sjap__EWB00_009592	Sman__Smp_343680		Shae__MS3_00011127, Sjap__EWB00_009592, Sman__Smp_343680
