#node	identifier	domain_summary_url	annotation	other_names_and_aliases
MS3_01744	6185.A0A094ZGB5	Filamin-A.	https://smart.embl.de/smart/DDvec.cgi?smart=2483:CH(35|137)+CH(158|254)+IG_FLMN(270|367)+IG_FLMN(370|467)+IG_FLMN(503|598)+IG_FLMN(599|689)+IG_FLMN(694|790)+IG_FLMN(792|886)+IG_FLMN(888|984)+IG_FLMN(1011|1102)+IG_FLMN(1108|1206)+IG_FLMN(1208|1299)+IG_FLMN(1301|1398)+IG_FLMN(1400|1498)+IG_FLMN(1500|1593)+IG_FLMN(1604|1700)+IG_FLMN(1701|1792)+IG_FLMN(1796|1878)+IG_FLMN(1882|1973)+IG_FLMN(1985|2071)+IG_FLMN(2075|2166)+IG_FLMN(2175|2267)+IG_FLMN(2268|2359)+IG_FLMN(2392|2483)+	24589467,A0A094ZGB5,A0A094ZGB5_SCHHA,Filamin,Filamin-A,MS3_01744,XM_012937880.1,XP_012793334,XP_012793334.1,shx:MS3_01744
MS3_02183	6185.A0A094ZHK3	Integrin alpha ina-1; Belongs to the integrin alpha chain family.	https://smart.embl.de/smart/DDvec.cgi?smart=1259:TRANS(7|29)+Int_alpha(43|93)+Int_alpha(281|340)+Int_alpha(369|423)+Int_alpha(432|495)+Pfam_Integrin_alpha2(651|1067)+TRANS(1154|1176)+	24589882,A0A094ZHK3,A0A094ZHK3_SCHHA,Integrin alpha ina-1,MS3_02183,XM_012938306.1,XP_012793760,XP_012793760.1,shx:MS3_02183
MS3_02455	6185.A0A094ZIB8	Tyrosine-protein kinase.	https://smart.embl.de/smart/DDvec.cgi?smart=592:SH3(103|160)+SH2(165|256)+TyrKc(291|541)+	2.7.10.2,24590135,A0A094ZIB8,A0A094ZIB8_SCHHA,EC 2.7.10.2,Fyn-related kinase,MS3_02455,Tyrosine-protein kinase,Tyrosine-protein kinase Src42A,XM_012938564.1,XP_012794018,XP_012794018.1,shx:MS3_02455
MS3_04014	6185.A0A095C2B3	Alpha-centractin; Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=375:ACTIN(9|375)+	24591582,A0A095C2B3,A0A095C2B3_SCHHA,Alpha-centractin,Centractin,MS3_04014,XM_012940054.1,XP_012795508,XP_012795508.1,shx:MS3_04014
MS3_04409	6185.A0A094ZPR3	Collagen alpha-2(V) chain.	https://smart.embl.de/smart/DDvec.cgi?smart=824:Pfam_Collagen(1|60)+Pfam_Collagen(479|542)+COLFI(594|789)+	24591950,A0A094ZPR3,A0A094ZPR3_SCHHA,Collagen alpha-2(V) chain,MS3_04409,XM_012940442.1,XP_012795896,XP_012795896.1,shx:MS3_04409
MS3_04420	6185.A0A095APB9	Collagen alpha-1(XXIV) chain.	https://smart.embl.de/smart/DDvec.cgi?smart=1198:SIGNAL(1|24)+Pfam_Collagen(54|115)+Pfam_Collagen(272|332)+Pfam_Collagen(545|613)+Pfam_Collagen(655|730)+Pfam_Collagen(946|1019)+COLFI(1030|1195)+	24591959,A0A095APB9,A0A095APB9_SCHHA,Collagen alpha-1(XXIV) chain,Collagen type V/XI/XXIV/XXVII, alpha,MS3_04420,XM_012940453.1,XP_012795907,XP_012795907.1,shx:MS3_04420
MS3_04427	6185.A0A094ZPS9	Alpha-actinin, sarcomeric.	https://smart.embl.de/smart/DDvec.cgi?smart=773:SIGNAL(1|20)+CH(25|124)+Pfam_Spectrin(153|263)+SPEC(276|377)+SPEC(391|499)+Pfam_Spectrin(512|613)+EFh(630|658)+EFh(671|699)+efhand_Ca_insen(702|769)+	24591966,A0A094ZPS9,A0A094ZPS9_SCHHA,Actinin alpha 1/4,Alpha-actinin, sarcomeric,MS3_04427,XM_012940458.1,XP_012795912,XP_012795912.1,shx:MS3_04427
MS3_04616	6185.A0A095APX4	LIM domain-containing protein jub.	https://smart.embl.de/smart/DDvec.cgi?smart=465:LIM(99|152)+LIM(153|195)+LIM(203|275)+	24592132,A0A095APX4,A0A095APX4_SCHHA,LIM domain-containing protein,LIM domain-containing protein jub,MS3_04616,XM_012940641.1,XP_012796095,XP_012796095.1,shx:MS3_04616
MS3_04907	6185.A0A094ZPG8	Actin-related protein 3; Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=326:ACTIN(1|321)+	24592396,A0A094ZPG8,A0A094ZPG8_SCHHA,Actin-related protein 3,MS3_04907,XM_012940914.1,XP_012796368,XP_012796368.1,shx:MS3_04907
MS3_04979	6185.A0A095C4C1	Fermitin family 1.	https://smart.embl.de/smart/DDvec.cgi?smart=852:PH(505|633)+	24592460,A0A095C4C1,A0A095C4C1_SCHHA,Fermitin family 1,Kindlin 2,MS3_04979,XM_012940981.1,XP_012796435,XP_012796435.1,shx:MS3_04979
MS3_05026	6185.A0A095AQX5	Cofilin; Belongs to the actin-binding proteins ADF family.	https://smart.embl.de/smart/DDvec.cgi?smart=149:ADF(8|145)+	24592504,A0A095AQX5,A0A095AQX5_SCHHA,Cofilin,MS3_05026,XM_012941029.1,XP_012796483,XP_012796483.1,shx:MS3_05026
MS3_05316	6185.A0A094ZQH5	Collagen alpha-1(IV) chain.	https://smart.embl.de/smart/DDvec.cgi?smart=1729:Pfam_Collagen(59|124)+Pfam_Collagen(130|188)+Pfam_Collagen(215|277)+Pfam_Collagen(379|440)+Pfam_Collagen(512|569)+Pfam_Collagen(576|640)+Pfam_Collagen(682|741)+Pfam_Collagen(791|850)+Pfam_Collagen(885|943)+Pfam_Collagen(1063|1131)+Pfam_Collagen(1171|1234)+Pfam_Collagen(1338|1404)+C4(1494|1602)+C4(1603|1719)+	24592777,A0A094ZQH5,A0A094ZQH5_SCHHA,Collagen alpha-1(IV) chain,Collagen type IV alpha,MS3_05316,XM_012941308.1,XP_012796762,XP_012796762.1,shx:MS3_05316
MS3_05320	6185.A0A094ZV34	Collagen alpha-1(IV) chain.	https://smart.embl.de/smart/DDvec.cgi?smart=3313:Pfam_Collagen(104|158)+Pfam_Collagen(200|259)+Pfam_Collagen(374|439)+Pfam_Collagen(447|511)+Pfam_Collagen(756|818)+Pfam_Collagen(844|905)+Pfam_Collagen(903|962)+Pfam_Collagen(1000|1063)+C4(1368|1477)+C4(1478|1599)+Pfam_Collagen(1604|1667)+Pfam_Collagen(1726|1785)+Pfam_Collagen(1814|1875)+Pfam_Collagen(1929|1985)+Pfam_Collagen(2058|2118)+Pfam_Collagen(2110|2172)+Pfam_Collagen(2177|2241)+Pfam_Collagen(2286|2344)+Pfam_Collagen(2390|2445)+Pfam_Collagen(2486|2546)+Pfam_Collagen(2672|2729)+Pfam_Collagen(2773|2837)+Pfam_Collagen(2924|2985)+C4(3077|3185)+C4(3186|3306)+	24592781,A0A094ZV34,A0A094ZV34_SCHHA,Collagen alpha-1(IV) chain,Collagen type IV alpha,MS3_05320,XM_012941307.1,XP_012796761,XP_012796761.1,shx:MS3_05320
MS3_05397	6185.A0A094ZQP5	Prickle-like protein 3.	https://smart.embl.de/smart/DDvec.cgi?smart=287:Pfam_PET(95|186)+LIM(198|267)+	24592857,A0A094ZQP5,A0A094ZQP5_SCHHA,MS3_05397,Prickle,Prickle-like protein 3,XM_012941383.1,XP_012796837,XP_012796837.1,shx:MS3_05397
MS3_05600	6185.A0A094ZVX7	Four and a half LIM domains protein 2.	https://smart.embl.de/smart/DDvec.cgi?smart=312:LIM(1|39)+LIM(47|127)+LIM(135|188)+LIM(196|247)+LIM(255|310)+	24593044,A0A094ZVX7,A0A094ZVX7_SCHHA,Four and a half LIM domains protein 2,MS3_05600,XM_012941582.1,XP_012797036,XP_012797036.1,shx:MS3_05600
MS3_05634	6185.A0A094ZSZ5	Integrin beta.	https://smart.embl.de/smart/DDvec.cgi?smart=892:SIGNAL(1|25)+INB(36|467)+EGF(594|631)+Pfam_EGF_2(639|672)+TRANS(821|843)+Integrin_b_cyt(844|890)+	24593076,A0A094ZSZ5,A0A094ZSZ5_SCHHA,Integrin beta,Integrin beta 1,Integrin beta-2,MS3_05634,XM_012941615.1,XP_012797069,XP_012797069.1,shx:MS3_05634
MS3_05644	6185.A0A094ZT02	Tyrosine-protein kinase.	https://smart.embl.de/smart/DDvec.cgi?smart=565:SH3(115|172)+SH2(179|268)+TyrKc(297|551)+	2.7.10.2,24593085,A0A094ZT02,A0A094ZT02_SCHHA,EC 2.7.10.2,MS3_05644,Tyrosine-protein kinase,Tyrosine-protein kinase Src,Tyrosine-protein kinase Src-2,XM_012941625.1,XP_012797079,XP_012797079.1,shx:MS3_05644
MS3_05835	6185.A0A094ZWE3	Tyrosine-protein kinase yes.	https://smart.embl.de/smart/DDvec.cgi?smart=521:SH3(336|391)+SH2(396|487)+	2.7.10.2,24593258,A0A094ZWE3,A0A094ZWE3_SCHHA,EC 2.7.10.2,MS3_05835,Tyrosine-protein kinase Fyn,Tyrosine-protein kinase yes,XM_012941802.1,XP_012797256,XP_012797256.1,shx:MS3_05835
MS3_06212	6185.A0A094ZXG3	LIM and senescent cell antigen-like-containing domain protein 1.	https://smart.embl.de/smart/DDvec.cgi?smart=359:LIM(38|91)+LIM(99|151)+LIM(164|215)+LIM(223|274)+LIM(282|334)+	24593618,A0A094ZXG3,A0A094ZXG3_SCHHA,MS3_06212,XM_012942162.1,XP_012797616,XP_012797616.1,shx:MS3_06212
MS3_06750	6185.A0A095C865	Talin-1.	https://smart.embl.de/smart/DDvec.cgi?smart=3159:IRS(206|301)+Pfam_Talin_middle(416|620)+Pfam_I_LWEQ(2978|3155)+	24594111,A0A095C865,A0A095C865_SCHHA,MS3_06750,Talin,Talin-1,XM_012942675.1,XP_012798129,XP_012798129.1,shx:MS3_06750
MS3_07063	6185.A0A094ZWG6	Focal adhesion kinase 1; Belongs to the protein kinase superfamily. Tyr protein kinase family.	https://smart.embl.de/smart/DDvec.cgi?smart=926:Pfam_Pkinase_Tyr(241|399)+Pfam_Pkinase_Tyr(392|466)+Pfam_Focal_AT(802|926)+	24594396,A0A094ZWG6,A0A094ZWG6_SCHHA,Focal adhesion kinase 1,MS3_07063,XM_012942973.1,XP_012798427,XP_012798427.1,shx:MS3_07063
MS3_07220	6185.A0A095A048	Actin; Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=258:ACTIN(9|258)+	24594544,A0A095A048,A0A095A048_SCHHA,Actin,MS3_07220,XM_012943115.1,XP_012798569,XP_012798569.1,shx:MS3_07220
MS3_07221	6185.A0A095AW46	Actin; Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=372:ACTIN(6|372)+	24594545,A0A095AW46,A0A095AW46_SCHHA,Actin,MS3_07221,XM_012943117.1,XP_012798571,XP_012798571.1,shx:MS3_07221
MS3_07374	6185.A0A095AWE8	Actin-2.	https://smart.embl.de/smart/DDvec.cgi?smart=376:ACTIN(6|376)+	24594693,A0A095AWE8,A0A095AWE8_SCHHA,Actin-2,MS3_07374,XM_012943272.1,XP_012798726,XP_012798726.1,shx:MS3_07374
MS3_07408	6185.A0A094ZVS1	Unc-112-related protein.	http://smart.embl.de/smart/DDvec.cgi?smart=729:	24594722,A0A094ZVS1,A0A094ZVS1_SCHHA,MS3_07408,Unc-112-related protein,XM_012943306.1,XP_012798760,XP_012798760.1,shx:MS3_07408
MS3_08067	6185.A0A094ZXH0	Paxillin.	https://smart.embl.de/smart/DDvec.cgi?smart=548:LIM(313|364)+LIM(372|424)+LIM(432|483)+LIM(491|542)+	24595320,A0A094ZXH0,A0A094ZXH0_SCHHA,MS3_08063,MS3_08067,Paxillin,XM_012943924.1,XP_012799378,XP_012799378.1,shx:MS3_08063
MS3_08281	6185.A0A095A2S1	Integrin alpha-5; Belongs to the integrin alpha chain family.	https://smart.embl.de/smart/DDvec.cgi?smart=1297:Int_alpha(261|340)+Int_alpha(365|426)+Int_alpha(455|514)+Pfam_Integrin_alpha2(527|797)+Pfam_Integrin_alpha2(890|1105)+TRANS(1238|1260)+	24595520,A0A095A2S1,A0A095A2S1_SCHHA,Integrin alpha 8,Integrin alpha-5,MS3_08281,XM_012944133.1,XP_012799587,XP_012799587.1,shx:MS3_08281
MS3_08434	6185.A0A095A335	Collagen alpha-2(I) chain.	https://smart.embl.de/smart/DDvec.cgi?smart=1616:TSPN(38|220)+Pfam_Collagen(685|753)+Pfam_Collagen(1252|1314)+COLFI(1367|1616)+	24595668,A0A095A335,A0A095A335_SCHHA,Collagen alpha-2(I) chain,Collagen type V/XI/XXIV/XXVII, alpha,MS3_08434,XM_012944283.1,XP_012799737,XP_012799737.1,shx:MS3_08434
MS3_08642	6185.A0A095A3M6	Vinculin.	https://smart.embl.de/smart/DDvec.cgi?smart=927:Pfam_Vinculin(1|807)+	24595868,A0A095A3M6,A0A095A3M6_SCHHA,MS3_08642,Vinculin,XM_012944483.1,XP_012799937,XP_012799937.1,shx:MS3_08642
MS3_08655	6185.A0A095A3P2	LIM domain-containing protein unc-97.	https://smart.embl.de/smart/DDvec.cgi?smart=239:LIM(1|36)+LIM(49|100)+LIM(108|159)+LIM(167|219)+	24595880,A0A095A3P2,A0A095A3P2_SCHHA,LIM domain-containing protein unc-97,MS3_08655,XM_012944498.1,XP_012799952,XP_012799952.1,shx:MS3_08655
MS3_08997	6185.A0A095A147	Laminin subunit beta-2.	https://smart.embl.de/smart/DDvec.cgi?smart=1721:SIGNAL(1|19)+LamNT(29|268)+EGF_Lam(270|331)+EGF_Lam(334|394)+EGF_Lam(397|454)+EGF_Lam(457|505)+EGF_Lam(508|551)+EGF_Lam(715|760)+EGF_Lam(763|806)+EGF_Lam(809|854)+EGF_Lam(904|953)+EGF_Lam(956|1005)+EGF_Lam(1008|1055)+EGF_Lam(1058|1102)+	24596201,A0A095A147,A0A095A147_SCHHA,Laminin subunit beta-2,Laminin, beta 1,MS3_08997,XM_012944826.1,XP_012800280,XP_012800280.1,shx:MS3_08997
MS3_09318	6185.A0A095A5F3	Tyrosine-protein kinase BTK.	https://smart.embl.de/smart/DDvec.cgi?smart=439:PH(1|108)+BTK(110|146)+SH3(330|386)+SH2(391|439)+	24596500,A0A095A5F3,A0A095A5F3_SCHHA,MS3_09318,Tyrosine-protein kinase BTK,XM_012945135.1,XP_012800589,XP_012800589.1,shx:MS3_09318
MS3_10188	6185.A0A095B398	Integrin-linked protein kinase.	https://smart.embl.de/smart/DDvec.cgi?smart=373:Pfam_Pkinase_Tyr(78|364)+	2.7.11.1,24597331,A0A095B398,A0A095B398_SCHHA,EC 2.7.11.1,Integrin-linked kinase,Integrin-linked protein kinase,MS3_10188,XM_012945977.1,XP_012801431,XP_012801431.1,shx:MS3_10188
MS3_10940	6185.A0A095BRI5	Non-specific protein-tyrosine kinase.	https://smart.embl.de/smart/DDvec.cgi?smart=267:SH2(2|116)+Pfam_Pkinase_Tyr(150|267)+	2.7.10.2,24598065,A0A095BRI5,A0A095BRI5_SCHHA,EC 2.7.10.2,Fyn-related kinase,Hypothetical protein,MS3_10940,Non-specific protein-tyrosine kinase,XM_012946718.1,XP_012802172,XP_012802172.1,shx:MS3_10940
MS3_11012	6185.A0A095B548	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=374:	24598132,A0A095B548,A0A095B548_SCHHA,Hypothetical protein,MS3_11012,Uncharacterized protein,XM_012946785.1,XP_012802239,XP_012802239.1,shx:MS3_11012
