#node	identifier	category	term ID	term description
MS3_00254	6185.A0A094ZGZ0	InterPro	IPR050149	Collagen superfamily
MS3_00254	6185.A0A094ZGZ0	SMART	SM00038	Fibrillar collagens C-terminal domain
MS3_00256	6185.A0A094ZCZ2	GO Process	GO:0006996	Organelle organization
MS3_00256	6185.A0A094ZCZ2	GO Process	GO:0006997	Nucleus organization
MS3_00256	6185.A0A094ZCZ2	GO Process	GO:0007000	Nucleolus organization
MS3_00256	6185.A0A094ZCZ2	GO Process	GO:0009987	Cellular process
MS3_00256	6185.A0A094ZCZ2	GO Process	GO:0016043	Cellular component organization
MS3_00256	6185.A0A094ZCZ2	GO Process	GO:0071840	Cellular component organization or biogenesis
MS3_00256	6185.A0A094ZCZ2	GO Function	GO:0003682	Chromatin binding
MS3_00256	6185.A0A094ZCZ2	GO Function	GO:0005488	Binding
MS3_00256	6185.A0A094ZCZ2	GO Function	GO:0031491	Nucleosome binding
MS3_00256	6185.A0A094ZCZ2	GO Function	GO:0044877	Protein-containing complex binding
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0000118	Histone deacetylase complex
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0000228	Nuclear chromosome
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0000785	Chromatin
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0000812	Swr1 complex
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0005622	Intracellular anatomical structure
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0005634	Nucleus
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0005654	Nucleoplasm
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0005694	Chromosome
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0005730	Nucleolus
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0005856	Cytoskeleton
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0031974	Membrane-enclosed lumen
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0031981	Nuclear lumen
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0032991	Protein-containing complex
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0043226	Organelle
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0043227	Membrane-bounded organelle
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0043228	Membraneless organelle
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0043229	Intracellular organelle
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0043231	Intracellular membrane-bounded organelle
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0043232	Intracellular membraneless organelle
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0043233	Organelle lumen
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0070013	Intracellular organelle lumen
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0070603	SWI/SNF superfamily-type complex
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0097346	INO80-type complex
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0110165	Cellular anatomical structure
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:0140513	Nuclear protein-containing complex
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:1902494	Catalytic complex
MS3_00256	6185.A0A094ZCZ2	GO Component	GO:1904949	ATPase complex
MS3_00256	6185.A0A094ZCZ2	STRING clusters	CL:2305	Mixed, incl. Zinc finger SWIM domain-containing protein, and NuA4 histone acetyltransferase complex
MS3_00256	6185.A0A094ZCZ2	STRING clusters	CL:2309	Mixed, incl. NuA4 histone acetyltransferase complex, and Zinc finger SWIM domain-containing protein
MS3_00256	6185.A0A094ZCZ2	STRING clusters	CL:2314	Mixed, incl. NuA4 histone acetyltransferase complex, and Coiled-coil domain-containing protein 170-like
MS3_00256	6185.A0A094ZCZ2	STRING clusters	CL:2317	Mixed, incl. NuA4 histone acetyltransferase complex, and Coiled-coil domain-containing protein 170-like
MS3_00256	6185.A0A094ZCZ2	STRING clusters	CL:2322	Mixed, incl. NuA4 histone acetyltransferase complex, and Coiled-coil domain-containing protein 170-like
MS3_00256	6185.A0A094ZCZ2	STRING clusters	CL:2353	Swr1 complex, and HIT zinc finger
MS3_00256	6185.A0A094ZCZ2	KEGG	shx03082	ATP-dependent chromatin remodeling
MS3_00256	6185.A0A094ZCZ2	Reactome	MAP-168249	Innate Immune System
MS3_00256	6185.A0A094ZCZ2	Reactome	MAP-168256	Immune System
MS3_00256	6185.A0A094ZCZ2	Reactome	MAP-2262752	Cellular responses to stress
MS3_00256	6185.A0A094ZCZ2	Reactome	MAP-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
MS3_00256	6185.A0A094ZCZ2	Reactome	MAP-6798695	Neutrophil degranulation
MS3_00256	6185.A0A094ZCZ2	Reactome	MAP-8953897	Cellular responses to stimuli
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0000228	Nuclear chromosome
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0000785	Chromatin
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0000812	Swr1 complex
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0005622	Intracellular anatomical structure
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0005634	Nucleus
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0005654	Nucleoplasm
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0005694	Chromosome
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0031974	Membrane-enclosed lumen
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0031981	Nuclear lumen
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0032991	Protein-containing complex
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0043226	Organelle
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0043227	Membrane-bounded organelle
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0043228	Membraneless organelle
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0043229	Intracellular organelle
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0043231	Intracellular membrane-bounded organelle
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0043232	Intracellular membraneless organelle
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0043233	Organelle lumen
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0070013	Intracellular organelle lumen
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0070603	SWI/SNF superfamily-type complex
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0097346	INO80-type complex
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:0110165	Cellular anatomical structure
MS3_00256	6185.A0A094ZCZ2	COMPARTMENTS	GOCC:1904949	ATPase complex
MS3_00256	6185.A0A094ZCZ2	UniProt Keywords	KW-0963	Cytoplasm
MS3_00256	6185.A0A094ZCZ2	InterPro	IPR004000	Actin family
MS3_00256	6185.A0A094ZCZ2	InterPro	IPR043129	ATPase, nucleotide binding domain
MS3_00256	6185.A0A094ZCZ2	SMART	SM00268	Actin
MS3_00351	6185.A0A095BTU9	GO Process	GO:0000018	Regulation of DNA recombination
MS3_00351	6185.A0A095BTU9	GO Process	GO:0006282	Regulation of DNA repair
MS3_00351	6185.A0A095BTU9	GO Process	GO:0006355	Regulation of DNA-templated transcription
MS3_00351	6185.A0A095BTU9	GO Process	GO:0006357	Regulation of transcription by RNA polymerase II
MS3_00351	6185.A0A095BTU9	GO Process	GO:0006996	Organelle organization
MS3_00351	6185.A0A095BTU9	GO Process	GO:0007010	Cytoskeleton organization
MS3_00351	6185.A0A095BTU9	GO Process	GO:0007015	Actin filament organization
MS3_00351	6185.A0A095BTU9	GO Process	GO:0009889	Regulation of biosynthetic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0009891	Positive regulation of biosynthetic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0009893	Positive regulation of metabolic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0009987	Cellular process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0010468	Regulation of gene expression
MS3_00351	6185.A0A095BTU9	GO Process	GO:0010556	Regulation of macromolecule biosynthetic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0010557	Positive regulation of macromolecule biosynthetic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0010569	Regulation of double-strand break repair via homologous recombination
MS3_00351	6185.A0A095BTU9	GO Process	GO:0010604	Positive regulation of macromolecule metabolic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0016043	Cellular component organization
MS3_00351	6185.A0A095BTU9	GO Process	GO:0019219	Regulation of nucleobase-containing compound metabolic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0019222	Regulation of metabolic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0030029	Actin filament-based process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0030036	Actin cytoskeleton organization
MS3_00351	6185.A0A095BTU9	GO Process	GO:0034314	Arp2/3 complex-mediated actin nucleation
MS3_00351	6185.A0A095BTU9	GO Process	GO:0045010	Actin nucleation
MS3_00351	6185.A0A095BTU9	GO Process	GO:0045739	Positive regulation of DNA repair
MS3_00351	6185.A0A095BTU9	GO Process	GO:0045893	Positive regulation of DNA-templated transcription
MS3_00351	6185.A0A095BTU9	GO Process	GO:0045911	Positive regulation of DNA recombination
MS3_00351	6185.A0A095BTU9	GO Process	GO:0045935	Positive regulation of nucleobase-containing compound metabolic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0045944	Positive regulation of transcription by RNA polymerase II
MS3_00351	6185.A0A095BTU9	GO Process	GO:0048518	Positive regulation of biological process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0048522	Positive regulation of cellular process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0048583	Regulation of response to stimulus
MS3_00351	6185.A0A095BTU9	GO Process	GO:0048584	Positive regulation of response to stimulus
MS3_00351	6185.A0A095BTU9	GO Process	GO:0050789	Regulation of biological process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0050794	Regulation of cellular process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0051052	Regulation of DNA metabolic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0051054	Positive regulation of DNA metabolic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0051252	Regulation of RNA metabolic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0051254	Positive regulation of RNA metabolic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0060255	Regulation of macromolecule metabolic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0065007	Biological regulation
MS3_00351	6185.A0A095BTU9	GO Process	GO:0071840	Cellular component organization or biogenesis
MS3_00351	6185.A0A095BTU9	GO Process	GO:0080090	Regulation of primary metabolic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:0080134	Regulation of response to stress
MS3_00351	6185.A0A095BTU9	GO Process	GO:0080135	Regulation of cellular response to stress
MS3_00351	6185.A0A095BTU9	GO Process	GO:0097435	Supramolecular fiber organization
MS3_00351	6185.A0A095BTU9	GO Process	GO:1902680	Positive regulation of RNA biosynthetic process
MS3_00351	6185.A0A095BTU9	GO Process	GO:1905168	Positive regulation of double-strand break repair via homologous recombination
MS3_00351	6185.A0A095BTU9	GO Process	GO:2000779	Regulation of double-strand break repair
MS3_00351	6185.A0A095BTU9	GO Process	GO:2000781	Positive regulation of double-strand break repair
MS3_00351	6185.A0A095BTU9	GO Process	GO:2001032	Regulation of double-strand break repair via nonhomologous end joining
MS3_00351	6185.A0A095BTU9	GO Process	GO:2001141	Regulation of RNA biosynthetic process
MS3_00351	6185.A0A095BTU9	GO Function	GO:0000166	Nucleotide binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0003779	Actin binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0005488	Binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0005515	Protein binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0005524	ATP binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0008092	Cytoskeletal protein binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0017076	Purine nucleotide binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0030554	Adenyl nucleotide binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0032553	Ribonucleotide binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0032555	Purine ribonucleotide binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0032559	Adenyl ribonucleotide binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0035639	Purine ribonucleoside triphosphate binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0036094	Small molecule binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0043167	Ion binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0043168	Anion binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0044877	Protein-containing complex binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0051015	Actin filament binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:0097367	Carbohydrate derivative binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:1901265	Nucleoside phosphate binding
MS3_00351	6185.A0A095BTU9	GO Function	GO:1901363	Heterocyclic compound binding
MS3_00351	6185.A0A095BTU9	GO Component	GO:0005622	Intracellular anatomical structure
MS3_00351	6185.A0A095BTU9	GO Component	GO:0005634	Nucleus
MS3_00351	6185.A0A095BTU9	GO Component	GO:0005694	Chromosome
MS3_00351	6185.A0A095BTU9	GO Component	GO:0005737	Cytoplasm
MS3_00351	6185.A0A095BTU9	GO Component	GO:0005856	Cytoskeleton
MS3_00351	6185.A0A095BTU9	GO Component	GO:0005885	Arp2/3 protein complex
MS3_00351	6185.A0A095BTU9	GO Component	GO:0005938	Cell cortex
MS3_00351	6185.A0A095BTU9	GO Component	GO:0015629	Actin cytoskeleton
MS3_00351	6185.A0A095BTU9	GO Component	GO:0032991	Protein-containing complex
MS3_00351	6185.A0A095BTU9	GO Component	GO:0035861	Site of double-strand break
MS3_00351	6185.A0A095BTU9	GO Component	GO:0042995	Cell projection
MS3_00351	6185.A0A095BTU9	GO Component	GO:0043226	Organelle
MS3_00351	6185.A0A095BTU9	GO Component	GO:0043227	Membrane-bounded organelle
MS3_00351	6185.A0A095BTU9	GO Component	GO:0043228	Membraneless organelle
MS3_00351	6185.A0A095BTU9	GO Component	GO:0043229	Intracellular organelle
MS3_00351	6185.A0A095BTU9	GO Component	GO:0043231	Intracellular membrane-bounded organelle
MS3_00351	6185.A0A095BTU9	GO Component	GO:0043232	Intracellular membraneless organelle
MS3_00351	6185.A0A095BTU9	GO Component	GO:0071944	Cell periphery
MS3_00351	6185.A0A095BTU9	GO Component	GO:0090734	Site of DNA damage
MS3_00351	6185.A0A095BTU9	GO Component	GO:0110165	Cellular anatomical structure
MS3_00351	6185.A0A095BTU9	STRING clusters	CL:8969	Mixed, incl. Actin cytoskeleton, and EF-Hand 1, calcium-binding site
MS3_00351	6185.A0A095BTU9	STRING clusters	CL:9131	Mixed, incl. RHO GTPases Activate WASPs and WAVEs, and Actin
MS3_00351	6185.A0A095BTU9	STRING clusters	CL:9134	Mixed, incl. RHO GTPases Activate WASPs and WAVEs, and Actin
MS3_00351	6185.A0A095BTU9	STRING clusters	CL:9137	RHO GTPases Activate WASPs and WAVEs, and Regulation of store-operated calcium entry
MS3_00351	6185.A0A095BTU9	STRING clusters	CL:9139	RHO GTPases Activate WASPs and WAVEs
MS3_00351	6185.A0A095BTU9	STRING clusters	CL:9141	Actin nucleation
MS3_00351	6185.A0A095BTU9	STRING clusters	CL:9145	Actin nucleation
MS3_00351	6185.A0A095BTU9	KEGG	shx04144	Endocytosis
MS3_00351	6185.A0A095BTU9	KEGG	shx05100	Bacterial invasion of epithelial cells
MS3_00351	6185.A0A095BTU9	Reactome	MAP-1266738	Developmental Biology
MS3_00351	6185.A0A095BTU9	Reactome	MAP-162582	Signal Transduction
MS3_00351	6185.A0A095BTU9	Reactome	MAP-168249	Innate Immune System
MS3_00351	6185.A0A095BTU9	Reactome	MAP-168256	Immune System
MS3_00351	6185.A0A095BTU9	Reactome	MAP-194315	Signaling by Rho GTPases
MS3_00351	6185.A0A095BTU9	Reactome	MAP-195258	RHO GTPase Effectors
MS3_00351	6185.A0A095BTU9	Reactome	MAP-199991	Membrane Trafficking
MS3_00351	6185.A0A095BTU9	Reactome	MAP-2029480	Fcgamma receptor (FCGR) dependent phagocytosis
MS3_00351	6185.A0A095BTU9	Reactome	MAP-2029482	Regulation of actin dynamics for phagocytic cup formation
MS3_00351	6185.A0A095BTU9	Reactome	MAP-2682334	EPH-Ephrin signaling
MS3_00351	6185.A0A095BTU9	Reactome	MAP-3928662	EPHB-mediated forward signaling
MS3_00351	6185.A0A095BTU9	Reactome	MAP-422475	Axon guidance
MS3_00351	6185.A0A095BTU9	Reactome	MAP-5653656	Vesicle-mediated transport
MS3_00351	6185.A0A095BTU9	Reactome	MAP-5663213	RHO GTPases Activate WASPs and WAVEs
MS3_00351	6185.A0A095BTU9	Reactome	MAP-6798695	Neutrophil degranulation
MS3_00351	6185.A0A095BTU9	Reactome	MAP-8856828	Clathrin-mediated endocytosis
MS3_00351	6185.A0A095BTU9	Reactome	MAP-9675108	Nervous system development
MS3_00351	6185.A0A095BTU9	Reactome	MAP-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3
MS3_00351	6185.A0A095BTU9	COMPARTMENTS	GOCC:0005622	Intracellular anatomical structure
MS3_00351	6185.A0A095BTU9	COMPARTMENTS	GOCC:0005856	Cytoskeleton
MS3_00351	6185.A0A095BTU9	COMPARTMENTS	GOCC:0005885	Arp2/3 protein complex
MS3_00351	6185.A0A095BTU9	COMPARTMENTS	GOCC:0015629	Actin cytoskeleton
MS3_00351	6185.A0A095BTU9	COMPARTMENTS	GOCC:0032991	Protein-containing complex
MS3_00351	6185.A0A095BTU9	COMPARTMENTS	GOCC:0043226	Organelle
MS3_00351	6185.A0A095BTU9	COMPARTMENTS	GOCC:0043228	Membraneless organelle
MS3_00351	6185.A0A095BTU9	COMPARTMENTS	GOCC:0043229	Intracellular organelle
MS3_00351	6185.A0A095BTU9	COMPARTMENTS	GOCC:0043232	Intracellular membraneless organelle
MS3_00351	6185.A0A095BTU9	COMPARTMENTS	GOCC:0110165	Cellular anatomical structure
MS3_00351	6185.A0A095BTU9	UniProt Keywords	KW-0009	Actin-binding
MS3_00351	6185.A0A095BTU9	UniProt Keywords	KW-0067	ATP-binding
MS3_00351	6185.A0A095BTU9	UniProt Keywords	KW-0206	Cytoskeleton
MS3_00351	6185.A0A095BTU9	UniProt Keywords	KW-0547	Nucleotide-binding
MS3_00351	6185.A0A095BTU9	UniProt Keywords	KW-0963	Cytoplasm
MS3_00351	6185.A0A095BTU9	InterPro	IPR004000	Actin family
MS3_00351	6185.A0A095BTU9	InterPro	IPR020902	Actin/actin-like conserved site
MS3_00351	6185.A0A095BTU9	InterPro	IPR043129	ATPase, nucleotide binding domain
MS3_00351	6185.A0A095BTU9	SMART	SM00268	Actin
MS3_00361	6185.A0A094ZD96	GO Process	GO:0006996	Organelle organization
MS3_00361	6185.A0A094ZD96	GO Process	GO:0007010	Cytoskeleton organization
MS3_00361	6185.A0A094ZD96	GO Process	GO:0009987	Cellular process
MS3_00361	6185.A0A094ZD96	GO Process	GO:0016043	Cellular component organization
MS3_00361	6185.A0A094ZD96	GO Process	GO:0022607	Cellular component assembly
MS3_00361	6185.A0A094ZD96	GO Process	GO:0030029	Actin filament-based process
MS3_00361	6185.A0A094ZD96	GO Process	GO:0030036	Actin cytoskeleton organization
MS3_00361	6185.A0A094ZD96	GO Process	GO:0030154	Cell differentiation
MS3_00361	6185.A0A094ZD96	GO Process	GO:0032502	Developmental process
MS3_00361	6185.A0A094ZD96	GO Process	GO:0044085	Cellular component biogenesis
MS3_00361	6185.A0A094ZD96	GO Process	GO:0048468	Cell development
MS3_00361	6185.A0A094ZD96	GO Process	GO:0048856	Anatomical structure development
MS3_00361	6185.A0A094ZD96	GO Process	GO:0048869	Cellular developmental process
MS3_00361	6185.A0A094ZD96	GO Process	GO:0071840	Cellular component organization or biogenesis
MS3_00361	6185.A0A094ZD96	GO Function	GO:0003779	Actin binding
MS3_00361	6185.A0A094ZD96	GO Function	GO:0005488	Binding
MS3_00361	6185.A0A094ZD96	GO Function	GO:0005509	Calcium ion binding
MS3_00361	6185.A0A094ZD96	GO Function	GO:0005515	Protein binding
MS3_00361	6185.A0A094ZD96	GO Function	GO:0008092	Cytoskeletal protein binding
MS3_00361	6185.A0A094ZD96	GO Function	GO:0036094	Small molecule binding
MS3_00361	6185.A0A094ZD96	GO Function	GO:0043167	Ion binding
MS3_00361	6185.A0A094ZD96	GO Function	GO:0043169	Cation binding
MS3_00361	6185.A0A094ZD96	GO Function	GO:0044877	Protein-containing complex binding
MS3_00361	6185.A0A094ZD96	GO Function	GO:0046872	Metal ion binding
MS3_00361	6185.A0A094ZD96	GO Function	GO:0051015	Actin filament binding
MS3_00361	6185.A0A094ZD96	GO Component	GO:0005622	Intracellular anatomical structure
MS3_00361	6185.A0A094ZD96	GO Component	GO:0005737	Cytoplasm
MS3_00361	6185.A0A094ZD96	GO Component	GO:0005856	Cytoskeleton
MS3_00361	6185.A0A094ZD96	GO Component	GO:0005886	Plasma membrane
MS3_00361	6185.A0A094ZD96	GO Component	GO:0005938	Cell cortex
MS3_00361	6185.A0A094ZD96	GO Component	GO:0015629	Actin cytoskeleton
MS3_00361	6185.A0A094ZD96	GO Component	GO:0016020	Membrane
MS3_00361	6185.A0A094ZD96	GO Component	GO:0030016	Myofibril
MS3_00361	6185.A0A094ZD96	GO Component	GO:0030017	Sarcomere
MS3_00361	6185.A0A094ZD96	GO Component	GO:0030018	Z disc
MS3_00361	6185.A0A094ZD96	GO Component	GO:0030054	Cell junction
MS3_00361	6185.A0A094ZD96	GO Component	GO:0030863	Cortical cytoskeleton
MS3_00361	6185.A0A094ZD96	GO Component	GO:0030864	Cortical actin cytoskeleton
MS3_00361	6185.A0A094ZD96	GO Component	GO:0031674	I band
MS3_00361	6185.A0A094ZD96	GO Component	GO:0042995	Cell projection
MS3_00361	6185.A0A094ZD96	GO Component	GO:0043226	Organelle
MS3_00361	6185.A0A094ZD96	GO Component	GO:0043228	Membraneless organelle
MS3_00361	6185.A0A094ZD96	GO Component	GO:0043229	Intracellular organelle
MS3_00361	6185.A0A094ZD96	GO Component	GO:0043232	Intracellular membraneless organelle
MS3_00361	6185.A0A094ZD96	GO Component	GO:0043292	Contractile muscle fiber
MS3_00361	6185.A0A094ZD96	GO Component	GO:0070161	Anchoring junction
MS3_00361	6185.A0A094ZD96	GO Component	GO:0071944	Cell periphery
MS3_00361	6185.A0A094ZD96	GO Component	GO:0099080	Supramolecular complex
MS3_00361	6185.A0A094ZD96	GO Component	GO:0099081	Supramolecular polymer
MS3_00361	6185.A0A094ZD96	GO Component	GO:0099512	Supramolecular fiber
MS3_00361	6185.A0A094ZD96	GO Component	GO:0110165	Cellular anatomical structure
MS3_00361	6185.A0A094ZD96	STRING clusters	CL:8969	Mixed, incl. Actin cytoskeleton, and EF-Hand 1, calcium-binding site
MS3_00361	6185.A0A094ZD96	STRING clusters	CL:8971	Mixed, incl. EF-hand domain, and Myosin complex
MS3_00361	6185.A0A094ZD96	STRING clusters	CL:8973	Mixed, incl. Myosin complex, and Sarcomere
MS3_00361	6185.A0A094ZD96	STRING clusters	CL:8976	Mixed, incl. Myosin complex, and Sarcomere
MS3_00361	6185.A0A094ZD96	STRING clusters	CL:8981	Mixed, incl. Myosin complex, and Muscle contraction
MS3_00361	6185.A0A094ZD96	STRING clusters	CL:8983	Mixed, incl. Myosin complex, and Muscle contraction
MS3_00361	6185.A0A094ZD96	STRING clusters	CL:8988	Mixed, incl. Myosin II complex, and Muscle contraction
MS3_00361	6185.A0A094ZD96	STRING clusters	CL:8991	Myofibril, and Tropomyosin
MS3_00361	6185.A0A094ZD96	Reactome	MAP-109582	Hemostasis
MS3_00361	6185.A0A094ZD96	Reactome	MAP-114608	Platelet degranulation
MS3_00361	6185.A0A094ZD96	Reactome	MAP-76002	Platelet activation, signaling and aggregation
MS3_00361	6185.A0A094ZD96	Reactome	MAP-76005	Response to elevated platelet cytosolic Ca2+
MS3_00361	6185.A0A094ZD96	COMPARTMENTS	GOCC:0005622	Intracellular anatomical structure
MS3_00361	6185.A0A094ZD96	COMPARTMENTS	GOCC:0043226	Organelle
MS3_00361	6185.A0A094ZD96	COMPARTMENTS	GOCC:0043229	Intracellular organelle
MS3_00361	6185.A0A094ZD96	COMPARTMENTS	GOCC:0110165	Cellular anatomical structure
MS3_00361	6185.A0A094ZD96	UniProt Keywords	KW-0009	Actin-binding
MS3_00361	6185.A0A094ZD96	UniProt Keywords	KW-0106	Calcium
MS3_00361	6185.A0A094ZD96	UniProt Keywords	KW-0175	Coiled coil
MS3_00361	6185.A0A094ZD96	UniProt Keywords	KW-0677	Repeat
MS3_00361	6185.A0A094ZD96	Pfam	PF13405	EF-hand domain
MS3_00361	6185.A0A094ZD96	InterPro	IPR001589	Actinin-type actin-binding domain, conserved site
MS3_00361	6185.A0A094ZD96	InterPro	IPR001715	Calponin homology domain
