#node	identifier	domain_summary_url	annotation	other_names_and_aliases
A0A3Q0KLP6	6183.A0A3Q0KLP6	Putative alpha catenin.	https://smart.embl.de/smart/DDvec.cgi?smart=927:Pfam_Vinculin(9|240)+Pfam_Vinculin(242|885)+	A0A3Q0KLP6,A0A3Q0KLP6_SCHMA,Putative alpha catenin
A0A3Q0KME1	6183.A0A3Q0KME1	Putative collagen alpha-1(I) chain.	https://smart.embl.de/smart/DDvec.cgi?smart=1298:SIGNAL(1|25)+Pfam_Collagen(33|94)+Pfam_Collagen(470|537)+Pfam_Collagen(572|632)+Pfam_Collagen(677|751)+Pfam_Collagen(831|898)+Pfam_Collagen(993|1055)+COLFI(1066|1283)+	8351028,A0A3Q0KME1,A0A3Q0KME1_SCHMA,Collagen type I alpha,Putative collagen alpha-1(I) chain,Putative collagen alpha-1(I) chain precursor,Smp_135560,XP_018651922,smm:Smp_135560
A0A3Q0KMP3	6183.A0A3Q0KMP3	Tyrosine kinase.	https://smart.embl.de/smart/DDvec.cgi?smart=1070:TyrKc(303|608)+Pfam_Focal_AT(946|1070)+	A0A3Q0KMP3,A0A3Q0KMP3_SCHMA,Tyrosine kinase
A0A3Q0KMQ4	6183.A0A3Q0KMQ4	Tyrosine-protein kinase.	https://smart.embl.de/smart/DDvec.cgi?smart=652:SH3(115|172)+SH2(177|270)+TyrKc(304|555)+	2.7.10.2,8354176,A0A3Q0KMQ4,A0A3Q0KMQ4_SCHMA,EC 2.7.10.2,Smp_136300,Tyrosine kinase 5,Tyrosine-protein kinase,Tyrosine-protein kinase Fyn,XP_018652576,smm:Smp_136300
A0A3Q0KNU4	6183.A0A3Q0KNU4	Putative four and A half lim domains.	https://smart.embl.de/smart/DDvec.cgi?smart=285:LIM(1|39)+LIM(47|100)+LIM(108|161)+LIM(169|220)+TNFR(242|280)+	8351888,A0A3Q0KNU4,A0A3Q0KNU4_SCHMA,Four and a half LIM domains protein 2,Putative four and A half lim domains,Smp_143130.1,XP_018654785,smm:Smp_143130.1
A0A3Q0KQT0	6183.A0A3Q0KQT0	Putative lim domain.	https://smart.embl.de/smart/DDvec.cgi?smart=412:PDZ(14|87)+LIM(233|284)+LIM(292|343)+RING(352|383)+	8342874,A0A3Q0KQT0,A0A3Q0KQT0_SCHMA,LIM domain-binding protein 3,Putative lim domain,Smp_157310,XP_018650307,smm:Smp_157310
A0A3Q0KRT5	6183.A0A3Q0KRT5	LIM domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=354:LIM(39|92)+LIM(100|151)+LIM(164|215)+LIM(223|274)+LIM(282|334)+	A0A3Q0KRT5,A0A3Q0KRT5_SCHMA,LIM domain-containing protein
A0A3Q0KS63	6183.A0A3Q0KS63	Putative collagen alpha-1(V) chain.	https://smart.embl.de/smart/DDvec.cgi?smart=1540:VWC(1|61)+Pfam_Collagen(179|238)+Pfam_Collagen(712|784)+Pfam_Collagen(820|882)+Pfam_Collagen(1030|1100)+Pfam_Collagen(1141|1199)+COLFI(1251|1469)+	8355282,A0A3Q0KS63,A0A3Q0KS63_SCHMA,Collagen type III alpha,Putative collagen alpha-1(V) chain,Putative collagen alpha-1(V) chain precursor,Smp_164590,XP_018651258,smm:Smp_164590
A0A3Q0KS78	6183.A0A3Q0KS78	Putative talin.	https://smart.embl.de/smart/DDvec.cgi?smart=3246:B41(84|315)+IRS(310|404)+Pfam_Talin_middle(519|723)+Pfam_I_LWEQ(3063|3242)+	8343420,A0A3Q0KS78,A0A3Q0KS78_SCHMA,Putative talin,Smp_167010,Talin,XP_018650130,smm:Smp_167010
A0A3Q0KT01	6183.A0A3Q0KT01	Tyrosine-protein kinase.	https://smart.embl.de/smart/DDvec.cgi?smart=874:SH3(336|391)+SH2(396|487)+TyrKc(521|772)+	2.7.10.2,A0A3Q0KT01,A0A3Q0KT01_SCHMA,Tyrosine-protein kinase
A0A3Q0KUI3	6183.A0A3Q0KUI3	Fibrillar collagen NC1 domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=1674:TRANS(12|34)+TSPN(67|249)+Pfam_Collagen(351|410)+Pfam_Collagen(407|466)+Pfam_Collagen(1306|1366)+COLFI(1419|1674)+	29830150,A0A3Q0KUI3,A0A3Q0KUI3_SCHMA,Collagen type V/XI/XXIV/XXVII, alpha,Fibrillar collagen NC1 domain-containing protein,Hypothetical protein,Smp_196840,XP_018648711,smm:Smp_196840
A0A3Q0KUT3	6183.A0A3Q0KUT3	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=376:ACTIN(6|376)+	29830615,A0A3Q0KUT3,A0A3Q0KUT3_SCHMA,Smp_203130,Uncharacterized protein,XP_018652989,smm:Smp_203130
A0A3Q0KUY4	6183.A0A3Q0KUY4	Smp_202970.	https://smart.embl.de/smart/DDvec.cgi?smart=378:ACTIN(8|378)+	29830603,A0A3Q0KUY4,A0A3Q0KUY4_SCHMA,Smp_202970,Uncharacterized protein,XP_018652985,smm:Smp_202970
A0A3Q0KVD3	6183.A0A3Q0KVD3	Tyrosine-protein kinase.	https://smart.embl.de/smart/DDvec.cgi?smart=647:SH3(158|215)+SH2(220|311)+TyrKc(346|596)+	2.7.10.2,8340777,A0A3Q0KVD3,A0A3Q0KVD3_SCHMA,EC 2.7.10.2,Fyn-related kinase,Smp_151300,Tyrosine-protein kinase,XP_018655124,smm:Smp_151300
A0A3Q0KVF2	6183.A0A3Q0KVF2	Prolyl oligopeptidase (S09 family); Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=421:ACTIN(5|416)+	29830975,A0A3Q0KVF2,A0A3Q0KVF2_SCHMA,Actin-related protein 3,Prolyl oligopeptidase (S09 family),Smp_210740,XP_018651570,smm:Smp_210740
A0A5K4ENU1	6183.A0A5K4ENU1	Actin-like protein.	https://smart.embl.de/smart/DDvec.cgi?smart=418:ACTIN(3|416)+	8351029,A0A5K4ENU1,A0A5K4ENU1_SCHMA,Actin-like protein,Actin-related protein 6,Smp_135570,XP_018651924,smm:Smp_135570
A0A5K4EV73	6183.A0A5K4EV73	Putative collagen alpha chain.	https://smart.embl.de/smart/DDvec.cgi?smart=1761:SIGNAL(1|22)+Pfam_Collagen(46|105)+Pfam_Collagen(103|165)+Pfam_Collagen(166|226)+Pfam_Collagen(251|309)+Pfam_Collagen(301|363)+Pfam_Collagen(611|669)+Pfam_Collagen(717|774)+Pfam_Collagen(765|825)+Pfam_Collagen(829|889)+Pfam_Collagen(888|953)+Pfam_Collagen(974|1032)+Pfam_Collagen(1069|1130)+Pfam_Collagen(1205|1266)+Pfam_Collagen(1383|1442)+C4(1529|1638)+C4(1639|1755)+	A0A5K4EV73,A0A5K4EV73_SCHMA,Putative collagen alpha chain
A0A5K4EZW0	6183.A0A5K4EZW0	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=1777:Pfam_Collagen(53|112)+Pfam_Collagen(105|172)+Pfam_Collagen(173|234)+Pfam_Collagen(270|328)+Pfam_Collagen(320|378)+Pfam_Collagen(381|440)+Pfam_Collagen(547|620)+Pfam_Collagen(628|691)+Pfam_Collagen(876|937)+Pfam_Collagen(936|996)+Pfam_Collagen(1119|1182)+Pfam_Collagen(1226|1288)+Pfam_C4(1550|1657)+Pfam_C4(1660|1774)+	A0A5K4EZW0,A0A5K4EZW0_SCHMA,Uncharacterized protein
A0A5K4F186	6183.A0A5K4F186	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=424:LIM(46|99)+LIM(111|163)+LIM(171|237)+	A0A5K4F186,A0A5K4F186_SCHMA,Uncharacterized protein
A0A5K4F2D8	6183.A0A5K4F2D8	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=1121:Pfam_Vinculin(1|1104)+	A0A5K4F2D8,A0A5K4F2D8_SCHMA,Uncharacterized protein
A0A5K4F2I7	6183.A0A5K4F2I7	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=1791:TRANS(20|42)+Pfam_Collagen(64|127)+Pfam_Collagen(186|246)+Pfam_Collagen(273|335)+Pfam_Collagen(390|445)+Pfam_Collagen(480|533)+Pfam_Collagen(570|632)+Pfam_Collagen(637|701)+Pfam_Collagen(746|804)+Pfam_Collagen(850|905)+Pfam_Collagen(946|1007)+Pfam_Collagen(1097|1155)+Pfam_Collagen(1233|1295)+Pfam_Collagen(1296|1359)+Pfam_C4(1556|1662)+Pfam_C4(1665|1783)+	8351428,A0A5K4F2I7,A0A5K4F2I7_SCHMA,Collagen type IV alpha,Putative collagen alpha-1(V) chain precursor,Smp_170330,Uncharacterized protein,XP_018648994,smm:Smp_170330
A0A5K4F492	6183.A0A5K4F492	Filamin-related.	https://smart.embl.de/smart/DDvec.cgi?smart=2325:CH(38|140)+CH(166|262)+IG_FLMN(278|375)+IG_FLMN(378|477)+IG_FLMN(479|575)+IG_FLMN(576|665)+IG_FLMN(671|776)+IG_FLMN(883|978)+IG_FLMN(980|1074)+IG_FLMN(1076|1181)+IG_FLMN(1183|1302)+IG_FLMN(1304|1404)+IG_FLMN(1410|1504)+IG_FLMN(1505|1596)+IG_FLMN(1598|1682)+IG_FLMN(1686|1777)+IG_FLMN(1791|1875)+IG_FLMN(1879|1970)+IG_FLMN(1989|2097)+IG_FLMN(2100|2191)+IG_FLMN(2234|2325)+	8355888,A0A5K4F492,A0A5K4F492_SCHMA,Filamin,Filamin-related,Smp_156590,XP_018644284,smm:Smp_156590
A0A5K4F4I2	6183.A0A5K4F4I2	Integrin.	https://smart.embl.de/smart/DDvec.cgi?smart=1286:TRANS(7|29)+Int_alpha(43|93)+Int_alpha(229|304)+Int_alpha(308|367)+Int_alpha(396|450)+Int_alpha(459|513)+Pfam_Integrin_alpha2(672|1094)+TRANS(1181|1203)+	8355890,A0A5K4F4I2,A0A5K4F4I2_SCHMA,Hypothetical protein,Integrin,Smp_156610,XP_018651871,smm:Smp_156610
A0A5K4F5L7	6183.A0A5K4F5L7	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=552:LIM(317|368)+LIM(376|428)+LIM(436|487)+LIM(495|546)+	8353938,A0A5K4F5L7,A0A5K4F5L7_SCHMA,Hypothetical protein,Smp_140320,Uncharacterized protein,XP_018645211,smm:Smp_140320
A0A5K4FCV3	6183.A0A5K4FCV3	Putative talin.	https://smart.embl.de/smart/DDvec.cgi?smart=2704:B41(89|327)+IRS(322|416)+Pfam_Talin_middle(543|774)+Pfam_I_LWEQ(795|933)+Pfam_VBS(2062|2162)+	A0A5K4FCV3,A0A5K4FCV3_SCHMA,Putative talin
A0A5K4FDV5	6183.A0A5K4FDV5	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=3681:SIGNAL(1|20)+LamNT(44|317)+EGF_Lam(319|370)+EGF_Lam(373|440)+EGF_Lam(443|497)+EGF_like(500|549)+Pfam_Laminin_B(640|830)+Pfam_Laminin_EGF(827|861)+EGF_Lam(890|937)+EGF_Lam(940|998)+EGF_Lam(1001|1045)+EGF_Lam(1048|1092)+EGF_Lam(1095|1144)+EGF_Lam(1147|1192)+EGF_Lam(1195|1246)+EGF_Lam(1249|1292)+EGF_Lam(1295|1341)+EGF_Lam(1344|1401)+EGF_Lam(1708|1753)+EGF_Lam(1756|1810)+EGF_Lam(1813|1857)+	A0A5K4FDV5,A0A5K4FDV5_SCHMA,Uncharacterized protein
A0A5K4FDX2	6183.A0A5K4FDX2	Putative collagen alpha-1(V) chain.	https://smart.embl.de/smart/DDvec.cgi?smart=1329:TRANS(13|35)+Pfam_Collagen(88|148)+Pfam_Collagen(139|204)+Pfam_Collagen(626|694)+Pfam_Collagen(736|811)+Pfam_Collagen(994|1059)+COLFI(1105|1329)+	8345587,A0A5K4FDX2,A0A5K4FDX2_SCHMA,Collagen type II alpha,Putative collagen alpha-1(V) chain,Putative collagen alpha-1(V) chain precursor,Smp_144910,XP_018652257,smm:Smp_144910
ACT1_SCHMA	6183.P53470	Actin-1; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells; Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=376:ACTIN(6|376)+	8349762,ACT1_SCHMA,Actin-1,P53470,Putative actin-1,Smp_046600,XM_018798090.1,XP_018653066,XP_018653066.1,smm:Smp_046600
ACT2_SCHMA	6183.P53471	Actin-2; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells; Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=376:ACTIN(6|376)+	8349219,ACT2_SCHMA,Actin-2,P53471,Putative actin,Smp_161920,XP_018655545,smm:Smp_161920
B1AAM6_SCHMA	6183.B1AAM6	LIMPETin; Putative four and A half lim domains.	https://smart.embl.de/smart/DDvec.cgi?smart=556:Pfam_PET(77|171)+LIM(180|250)+LIM(258|310)+LIM(318|371)+LIM(379|432)+LIM(440|491)+LIM(499|554)+	8341782,B1AAM6,B1AAM6_SCHMA,Four and a half LIM domains protein 2,LIMPETin,LIMPETin; Putative four and A half lim domains,Putative four and A half lim domains,Smp_048560,XP_018654411,smm:Smp_048560
Smp_014780.2	6183.G4VBW4	Putative alpha-actinin.	https://smart.embl.de/smart/DDvec.cgi?smart=906:CH(32|132)+CH(145|244)+SPEC(276|382)+SPEC(396|497)+SPEC(511|618)+SPEC(632|731)+EFh(749|777)+EFh(805|833)+efhand_Ca_insen(836|902)+	8347322,Actinin alpha 1/4,G4VBW4,G4VBW4_SCHMA,Putative alpha-actinin,Smp_014780.1,Smp_014780.2,XM_018795729.1,XP_018650012,XP_018650012.1,smm:Smp_014780.1
Smp_053420	6183.G4VRK9	PH domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=854:PH(507|635)+	8344260,G4VRK9,G4VRK9_SCHMA,Hypothetical protein,Kindlin 2,PH domain-containing protein,Smp_053420,XM_018788768.1,XP_018654278,XP_018654278.1,smm:Smp_053420
Smp_063040	6183.G4LXV8	Actin-like protein 6, acl6; Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=409:ACTIN(5|409)+	8347385,Actin-like protein 6, acl6,Actin-like protein 6A,G4LXV8,G4LXV8_SCHMA,Smp_063040,XM_018790703.1,XP_018646097,XP_018646097.1,smm:Smp_063040
Smp_072870	6183.G4LW08	Actin, putative; Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=375:ACTIN(9|375)+	8341425,Actin, putative,Centractin,G4LW08,G4LW08_SCHMA,Smp_072870,XM_018791398.1,XP_018645455,XP_018645455.1,smm:Smp_072870
Smp_077850	6183.G4VL76	Putative actin; Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=372:ACTIN(6|372)+	8345287,G4VL76,G4VL76_SCHMA,Putative actin,Smp_077850,XM_018798538.1,XP_018653470,XP_018653470.1,smm:Smp_077850
Smp_077860	6183.G4VL77	Putative actin; Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=380:ACTIN(9|380)+	8345288,G4VL77,G4VL77_SCHMA,Putative actin,Smp_077860,XM_018798539.1,XP_018653471,XP_018653471.1,smm:Smp_077860
Smp_086590	6183.G4VGX1	Putative actin-depolymerizing factor; Belongs to the actin-binding proteins ADF family.	https://smart.embl.de/smart/DDvec.cgi?smart=140:ADF(9|135)+	8347711,Cofilin,G4VGX1,G4VGX1_SCHMA,Putative actin-depolymerizing factor,Smp_086590,XM_018799025.1,XP_018650856,XP_018650856.1,smm:Smp_086590
Smp_093230	6183.G4V8Q5	Actin-related protein 10, arp10; Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=408:ACTIN(12|396)+	8349144,Actin-related protein 10,Actin-related protein 10, arp10,G4V8Q5,G4V8Q5_SCHMA,Smp_093230,XM_018793524.1,XP_018648027,XP_018648027.1,smm:Smp_093230
Smp_120700.1	6183.G4LX89	Cofilin, actophorin, putative; Belongs to the actin-binding proteins ADF family.	https://smart.embl.de/smart/DDvec.cgi?smart=135:ADF(9|135)+	8344135,Cofilin,Cofilin, actophorin, putative,G4LX89,G4LX89_SCHMA,Smp_120700.1,XM_018790861.1,XP_018645878,XP_018645878.1,smm:Smp_120700.1
Smp_148790	6183.G4LWP4	Laminin beta chain-related.	https://smart.embl.de/smart/DDvec.cgi?smart=1753:SIGNAL(1|19)+LamNT(29|268)+EGF_Lam(270|331)+EGF_Lam(334|394)+EGF_Lam(397|454)+EGF_Lam(457|505)+EGF_Lam(508|551)+EGF_Lam(715|760)+EGF_Lam(763|806)+EGF_Lam(809|854)+EGF_Lam(857|909)+EGF_Lam(912|961)+EGF_Lam(964|1013)+EGF_Lam(1016|1063)+EGF_Lam(1066|1110)+	8341527,G4LWP4,G4LWP4_SCHMA,Laminin beta chain-related,Laminin, beta 1,Smp_148790,XM_018791171.1,XP_018645684,XP_018645684.1,smm:Smp_148790
Smp_170340	6183.G4V8A8	Putative collagen alpha-1(V) chain.	https://smart.embl.de/smart/DDvec.cgi?smart=1780:TRANS(13|35)+Pfam_Collagen(52|123)+Pfam_Collagen(181|239)+Pfam_Collagen(266|325)+Pfam_Collagen(429|490)+Pfam_Collagen(563|620)+Pfam_Collagen(627|692)+Pfam_Collagen(733|790)+Pfam_Collagen(872|933)+Pfam_Collagen(936|993)+Pfam_Collagen(984|1046)+Pfam_Collagen(1083|1135)+Pfam_Collagen(1222|1293)+Pfam_Collagen(1386|1454)+C4(1545|1653)+C4(1654|1770)+	8351429,Collagen type IV alpha,G4V8A8,G4V8A8_SCHMA,Putative collagen alpha-1(V) chain,Putative collagen alpha-1(V) chain precursor,Smp_170340,XM_018794600.1,XP_018648995,XP_018648995.1,smm:Smp_170340
Smp_183710	6183.G4VLW1	Putative actin.	https://smart.embl.de/smart/DDvec.cgi?smart=376:ACTIN(6|376)+	8345184,G4VLW1,G4VLW1_SCHMA,Putative actin,Smp_183710,XM_018798089.1,XP_018653065,XP_018653065.1,smm:Smp_183710
Smp_197370	6183.G4VFE1	Fibrillar collagen NC1 domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=1308:SIGNAL(1|24)+Pfam_Collagen(54|123)+Pfam_Collagen(491|557)+Pfam_Collagen(593|658)+Pfam_Collagen(655|722)+Pfam_Collagen(855|928)+Pfam_Collagen(1014|1076)+COLFI(1092|1308)+	29830182,Collagen type III alpha,Fibrillar collagen NC1 domain-containing protein,G4VFE1,G4VFE1_SCHMA,Hypothetical protein,Smp_197370,XM_018799473.1,XP_018651259,XP_018651259.1,smm:Smp_197370
