candidate_id	prepared_id	mapping_status	HOG	Orthogroup	Hsap_orthologues	Hsap_relationship	Cele_orthologues	Cele_relationship	Dmel_orthologues	Dmel_relationship	Mmus_orthologues	Mmus_relationship	Xlae_orthologues	Xlae_relationship	HOG_status	Hsap_HOG_copy_counts	Cele_HOG_copy_counts	Shae_HOG_copy_counts	Sjap_HOG_copy_counts	Sman_HOG_copy_counts	Dmel_HOG_copy_counts	Mmus_HOG_copy_counts	Xlae_HOG_copy_counts
Shae__MS3_00001786	Shae__MS3_00001786	matched	OG0002667	OG0002667	Hsap__GeneID_5260, Hsap__GeneID_5261	one-to-many	Cele__WBGene00021753	one-to-one	Dmel__GeneID_32120	one-to-one	Mmus__GeneID_18682, Mmus__GeneID_68961	one-to-many	Xlae__GeneID_108708334, Xlae__GeneID_373780, Xlae__GeneID_496328	one-to-many	shared HOG	2	1	1	1	1	1	2	3
Shae__MS3_00001825	Shae__MS3_00001825	matched	OG0002150	OG0002150	Hsap__GeneID_100288695, Hsap__GeneID_3987, Hsap__GeneID_55679, Hsap__GeneID_96626	one-to-many	Cele__WBGene00006826	one-to-one	Dmel__GeneID_40999	one-to-one	Mmus__GeneID_110829, Mmus__GeneID_225341	one-to-many	Xlae__GeneID_432196, Xlae__GeneID_444502	one-to-many	shared HOG	4	1	1	1	1	1	2	2
Shae__MS3_00001856	Shae__MS3_00001856	matched	OG0012466	OG0012466		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected	Schistosoma-only in sampled HOG	0	0	1	1	1	0	0	0
Shae__MS3_00001861	Shae__MS3_00001861	matched	OG0000309	OG0000309	Hsap__GeneID_1282, Hsap__GeneID_1284, Hsap__GeneID_1285, Hsap__GeneID_1286, Hsap__GeneID_1287, Hsap__GeneID_1288	many-to-many	Cele__WBGene00001263, Cele__WBGene00002280	many-to-many	Dmel__GeneID_33726, Dmel__GeneID_33727	many-to-many	Mmus__GeneID_12826, Mmus__GeneID_12827, Mmus__GeneID_12828, Mmus__GeneID_12829, Mmus__GeneID_12830, Mmus__GeneID_94216	many-to-many	Xlae__GeneID_108698394, Xlae__GeneID_108698395, Xlae__GeneID_108700098, Xlae__GeneID_108700099, Xlae__GeneID_108709738, Xlae__GeneID_108709739, Xlae__GeneID_373763, Xlae__GeneID_373764	many-to-many	shared HOG	6	2	3	4	4	2	6	8
Shae__MS3_00001957	Shae__MS3_00001957	matched	OG0012474	OG0012474		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected	Schistosoma-only in sampled HOG	0	0	1	1	1	0	0	0
Shae__MS3_00002201	Shae__MS3_00002201	matched	OG0001726	OG0001726	Hsap__GeneID_102724428, Hsap__GeneID_150094, Hsap__GeneID_23235	one-to-many	Cele__WBGene00002210	one-to-one	Dmel__GeneID_31170, Dmel__GeneID_37152	one-to-many	Mmus__GeneID_17691, Mmus__GeneID_235344	one-to-many	Xlae__GeneID_100502576, Xlae__GeneID_108697582, Xlae__GeneID_108709301	one-to-many	shared HOG	3	1	1	1	1	2	2	3
Shae__MS3_00002403	Shae__MS3_00002403	matched	OG0001395	OG0001395	Hsap__GeneID_344387, Hsap__GeneID_8814	many-to-many	Cele__WBGene00012779	many-to-one	Dmel__GeneID_33798	many-to-one	Mmus__GeneID_381113, Mmus__GeneID_71091	many-to-many	Xlae__GeneID_108698750, Xlae__GeneID_108699794, Xlae__GeneID_108704730, Xlae__GeneID_121398949	many-to-many	shared HOG	2	1	2	2	2	1	2	4
Shae__MS3_00002424	Shae__MS3_00002424	matched	OG0002218	OG0002218	Hsap__GeneID_27347, Hsap__GeneID_9943	one-to-many	Cele__WBGene00013355	one-to-one	Dmel__GeneID_44233	one-to-one	Mmus__GeneID_108737, Mmus__GeneID_53416	one-to-many	Xlae__GeneID_108701360, Xlae__GeneID_108702982, Xlae__GeneID_446749, Xlae__GeneID_446771	one-to-many	shared HOG	2	1	1	1	1	1	2	4
Shae__MS3_00002534	Shae__MS3_00002534	matched	OG0002465	OG0002465	Hsap__GeneID_1025	many-to-one	Cele__WBGene00000410	many-to-one	Dmel__GeneID_37586	many-to-one	Mmus__GeneID_107951	many-to-one	Xlae__GeneID_380229, Xlae__GeneID_735101	many-to-many	shared HOG	1	1	2	2	2	1	1	2
Shae__MS3_00002568	Shae__MS3_00002568	matched	OG0000150	OG0000150	Hsap__GeneID_144165, Hsap__GeneID_166336, Hsap__GeneID_2273, Hsap__GeneID_2274, Hsap__GeneID_2275, Hsap__GeneID_26136, Hsap__GeneID_29964, Hsap__GeneID_4007, Hsap__GeneID_9457	many-to-many	Cele__WBGene00006407, Cele__WBGene00015217, Cele__WBGene00022727	many-to-many	Dmel__GeneID_45343, Dmel__GeneID_53557	many-to-many	Mmus__GeneID_106042, Mmus__GeneID_14199, Mmus__GeneID_14200, Mmus__GeneID_14201, Mmus__GeneID_14202, Mmus__GeneID_21753, Mmus__GeneID_236749, Mmus__GeneID_243548, Mmus__GeneID_381104, Mmus__GeneID_54630, Mmus__GeneID_57756	many-to-many	Xlae__GeneID_100127273, Xlae__GeneID_108699981, Xlae__GeneID_108708232, Xlae__GeneID_108708415, Xlae__GeneID_108709459, Xlae__GeneID_108709713, Xlae__GeneID_108713109, Xlae__GeneID_108714730, Xlae__GeneID_108715929, Xlae__GeneID_108717963, Xlae__GeneID_380398, Xlae__GeneID_398256, Xlae__GeneID_398264, Xlae__GeneID_444152, Xlae__GeneID_446852, Xlae__GeneID_447182, Xlae__GeneID_447738	many-to-many	shared HOG	9	3	2	2	2	2	11	17
Shae__MS3_00002636	Shae__MS3_00002636	matched	OG0000878	OG0000878	Hsap__GeneID_5566, Hsap__GeneID_5567, Hsap__GeneID_5568	many-to-many	Cele__WBGene00002189	many-to-one	Dmel__GeneID_34284	many-to-one	Mmus__GeneID_18747, Mmus__GeneID_18749	many-to-many	Xlae__GeneID_100101276, Xlae__GeneID_108711677, Xlae__GeneID_108714187, Xlae__GeneID_380388	many-to-many	shared HOG	3	1	3	3	3	1	2	4
Shae__MS3_00002715	Shae__MS3_00002715	matched	OG0001985	OG0001985	Hsap__GeneID_5562, Hsap__GeneID_5563	one-to-many	Cele__WBGene00020142	one-to-one	Dmel__GeneID_43904	one-to-one	Mmus__GeneID_105787, Mmus__GeneID_108079	one-to-many	Xlae__GeneID_108714249, Xlae__GeneID_108715541, Xlae__GeneID_399172, Xlae__GeneID_495290	one-to-many	shared HOG	2	1	1	1	1	1	2	4
Shae__MS3_00002771	Shae__MS3_00002771	matched	OG0000213	OG0000213	Hsap__GeneID_2268, Hsap__GeneID_2534, Hsap__GeneID_3055, Hsap__GeneID_3932, Hsap__GeneID_4067, Hsap__GeneID_640, Hsap__GeneID_6714, Hsap__GeneID_7525	many-to-many	Cele__WBGene00005077	many-to-one	Dmel__GeneID_48973	many-to-one	Mmus__GeneID_12143, Mmus__GeneID_14191, Mmus__GeneID_14360, Mmus__GeneID_15162, Mmus__GeneID_16818, Mmus__GeneID_17096, Mmus__GeneID_20779, Mmus__GeneID_22612	many-to-many	Xlae__GeneID_100036955, Xlae__GeneID_108695301, Xlae__GeneID_108708097, Xlae__GeneID_108708930, Xlae__GeneID_108709526, Xlae__GeneID_108717237, Xlae__GeneID_373609, Xlae__GeneID_373647, Xlae__GeneID_373649, Xlae__GeneID_379629, Xlae__GeneID_379812, Xlae__GeneID_380430, Xlae__GeneID_734720	many-to-many	shared HOG	8	1	3	3	4	1	8	13
Shae__MS3_00002812	Shae__MS3_00002812	matched	OG0001118	OG0001118	Hsap__GeneID_100533105, Hsap__GeneID_10110, Hsap__GeneID_23678, Hsap__GeneID_6446	one-to-many	Cele__WBGene00004789	one-to-one		no direct pairwise orthologue detected	Mmus__GeneID_170755, Mmus__GeneID_20393, Mmus__GeneID_27219	one-to-many	Xlae__GeneID_108695327, Xlae__GeneID_108704609, Xlae__GeneID_108719280, Xlae__GeneID_399130, Xlae__GeneID_444618	one-to-many	shared HOG	4	1	1	2	2	0	3	5
Shae__MS3_00002824	Shae__MS3_00002824	matched	OG0002086	OG0002086	Hsap__GeneID_2185, Hsap__GeneID_5747	one-to-many	Cele__WBGene00002213	one-to-one	Dmel__GeneID_37233	one-to-one	Mmus__GeneID_14083, Mmus__GeneID_19229	one-to-many	Xlae__GeneID_108717254, Xlae__GeneID_108718305, Xlae__GeneID_399286, Xlae__GeneID_432072	one-to-many	shared HOG	2	1	1	1	1	1	2	4
Shae__MS3_00002992	Shae__MS3_00002992	matched	OG0007344	OG0007344		no direct pairwise orthologue detected	Cele__WBGene00003402, Cele__WBGene00017277	one-to-many		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected	shared HOG	0	2	1	1	1	0	0	0
Shae__MS3_00003104	Shae__MS3_00003104	matched	OG0000685	OG0000685	Hsap__GeneID_11035, Hsap__GeneID_51776, Hsap__GeneID_6885	one-to-many	Cele__WBGene00003396, Cele__WBGene00006971, Cele__WBGene00013643	one-to-many	Dmel__GeneID_318725, Dmel__GeneID_39659, Dmel__GeneID_42692	one-to-many	Mmus__GeneID_26409, Mmus__GeneID_56532, Mmus__GeneID_65964	one-to-many	Xlae__GeneID_101027300, Xlae__GeneID_108699326, Xlae__GeneID_108699327, Xlae__GeneID_108702997, Xlae__GeneID_108715017, Xlae__GeneID_379399, Xlae__GeneID_399459, Xlae__GeneID_733239	one-to-many	shared HOG	3	3	1	1	1	3	3	8
Shae__MS3_00003129	Shae__MS3_00003129	matched	OG0000983	OG0000983	Hsap__GeneID_4026, Hsap__GeneID_54751, Hsap__GeneID_7205, Hsap__GeneID_7791	one-to-many	Cele__WBGene00006999	one-to-one	Dmel__GeneID_317824	one-to-one	Mmus__GeneID_210126, Mmus__GeneID_22051, Mmus__GeneID_22793, Mmus__GeneID_74202	one-to-many	Xlae__GeneID_100049724, Xlae__GeneID_100137707, Xlae__GeneID_108695689, Xlae__GeneID_108696847, Xlae__GeneID_108718052, Xlae__GeneID_735087	one-to-many	shared HOG	4	1	1	1	1	1	4	6
Shae__MS3_00003183	Shae__MS3_00003183	matched	OG0001988	OG0001988	Hsap__GeneID_5770, Hsap__GeneID_5771	one-to-many	Cele__WBGene00017630	one-to-one	Dmel__GeneID_38160	one-to-one	Mmus__GeneID_19246, Mmus__GeneID_19255	one-to-many	Xlae__GeneID_108702596, Xlae__GeneID_431888, Xlae__GeneID_444514, Xlae__GeneID_446745	one-to-many	shared HOG	2	1	1	1	1	1	2	4
Shae__MS3_00003185	Shae__MS3_00003185	matched	OG0012651	OG0012651		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected	Schistosoma-only in sampled HOG	0	0	1	1	1	0	0	0
Shae__MS3_00003218	Shae__MS3_00003218	matched	OG0012655	OG0012655		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected	Schistosoma-only in sampled HOG	0	0	1	1	1	0	0	0
Shae__MS3_00003235	Shae__MS3_00003235	matched	OG0001282	OG0001282	Hsap__GeneID_10979, Hsap__GeneID_55612, Hsap__GeneID_83706	one-to-many	Cele__WBGene00006836	one-to-one	Dmel__GeneID_38488, Dmel__GeneID_39907	one-to-many	Mmus__GeneID_108101, Mmus__GeneID_218952, Mmus__GeneID_241639	one-to-many	Xlae__GeneID_100049120, Xlae__GeneID_108713911, Xlae__GeneID_379119, Xlae__GeneID_446790, Xlae__GeneID_494682	one-to-many	shared HOG	3	1	1	1	1	2	3	5
Shae__MS3_00003290	Shae__MS3_00003290	matched	OG0004909	OG0004909		no direct pairwise orthologue detected		no direct pairwise orthologue detected	Dmel__GeneID_32188	many-to-one		no direct pairwise orthologue detected		no direct pairwise orthologue detected	shared HOG	0	0	2	2	3	1	0	0
Shae__MS3_00003343	Shae__MS3_00003343	matched	OG0012665	OG0012665		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected	Schistosoma-only in sampled HOG	0	0	1	1	1	0	0	0
Shae__MS3_00003383	Shae__MS3_00003383	matched	OG0000917	OG0000917	Hsap__GeneID_815, Hsap__GeneID_816, Hsap__GeneID_817, Hsap__GeneID_818	one-to-many	Cele__WBGene00006779	one-to-one	Dmel__GeneID_43828	one-to-one	Mmus__GeneID_108058, Mmus__GeneID_12322, Mmus__GeneID_12323, Mmus__GeneID_12325	one-to-many	Xlae__GeneID_108696257, Xlae__GeneID_108712641, Xlae__GeneID_380508, Xlae__GeneID_397789, Xlae__GeneID_398376, Xlae__GeneID_399160, Xlae__GeneID_399284	one-to-many	shared HOG	4	1	1	1	1	1	4	7
Shae__MS3_00003400	Shae__MS3_00003400	matched	OG0000474	OG0000474	Hsap__GeneID_5578, Hsap__GeneID_5579, Hsap__GeneID_5580, Hsap__GeneID_5582, Hsap__GeneID_5588	many-to-many	Cele__WBGene00004033, Cele__WBGene00006599	many-to-many	Dmel__GeneID_36897, Dmel__GeneID_48311	many-to-many	Mmus__GeneID_18750, Mmus__GeneID_18751, Mmus__GeneID_18752, Mmus__GeneID_18753, Mmus__GeneID_18761	many-to-many	Xlae__GeneID_108696776, Xlae__GeneID_108697820, Xlae__GeneID_108701647, Xlae__GeneID_108702159, Xlae__GeneID_108703204, Xlae__GeneID_108711231, Xlae__GeneID_404226, Xlae__GeneID_404227, Xlae__GeneID_447031	many-to-many	shared HOG	5	2	2	1	2	2	5	9
Shae__MS3_00003535	Shae__MS3_00003535	matched	OG0002065	OG0002065	Hsap__GeneID_22858, Hsap__GeneID_4117	one-to-many	Cele__WBGene00001121	one-to-one	Dmel__GeneID_34319	one-to-one	Mmus__GeneID_17152, Mmus__GeneID_56542	one-to-many	Xlae__GeneID_108716907, Xlae__GeneID_121395135, Xlae__GeneID_121395136, Xlae__GeneID_447015	one-to-many	shared HOG	2	1	1	1	1	1	2	4
Shae__MS3_00003544	Shae__MS3_00003544	matched	OG0002465	OG0002465	Hsap__GeneID_1025	many-to-one	Cele__WBGene00000410	many-to-one	Dmel__GeneID_37586	many-to-one	Mmus__GeneID_107951	many-to-one	Xlae__GeneID_380229, Xlae__GeneID_735101	many-to-many	shared HOG	1	1	2	2	2	1	1	2
Shae__MS3_00003616	Shae__MS3_00003616	matched	OG0000150	OG0000150	Hsap__GeneID_144165, Hsap__GeneID_166336, Hsap__GeneID_2273, Hsap__GeneID_2274, Hsap__GeneID_2275, Hsap__GeneID_26136, Hsap__GeneID_29964, Hsap__GeneID_4007, Hsap__GeneID_9457	many-to-many	Cele__WBGene00006407, Cele__WBGene00015217, Cele__WBGene00022727	many-to-many	Dmel__GeneID_45343, Dmel__GeneID_53557	many-to-many	Mmus__GeneID_106042, Mmus__GeneID_14199, Mmus__GeneID_14200, Mmus__GeneID_14201, Mmus__GeneID_14202, Mmus__GeneID_21753, Mmus__GeneID_236749, Mmus__GeneID_243548, Mmus__GeneID_381104, Mmus__GeneID_54630, Mmus__GeneID_57756	many-to-many	Xlae__GeneID_100127273, Xlae__GeneID_108699981, Xlae__GeneID_108708232, Xlae__GeneID_108708415, Xlae__GeneID_108709459, Xlae__GeneID_108709713, Xlae__GeneID_108713109, Xlae__GeneID_108714730, Xlae__GeneID_108715929, Xlae__GeneID_108717963, Xlae__GeneID_380398, Xlae__GeneID_398256, Xlae__GeneID_398264, Xlae__GeneID_444152, Xlae__GeneID_446852, Xlae__GeneID_447182, Xlae__GeneID_447738	many-to-many	shared HOG	9	3	2	2	2	2	11	17
Shae__MS3_00003633	Shae__MS3_00003633	matched	OG0000878	OG0000878	Hsap__GeneID_5566, Hsap__GeneID_5567, Hsap__GeneID_5568	many-to-many	Cele__WBGene00002189	many-to-one	Dmel__GeneID_34284	many-to-one	Mmus__GeneID_18747, Mmus__GeneID_18749	many-to-many	Xlae__GeneID_100101276, Xlae__GeneID_108711677, Xlae__GeneID_108714187, Xlae__GeneID_380388	many-to-many	shared HOG	3	1	3	3	3	1	2	4
Shae__MS3_00003724	Shae__MS3_00003724	matched	OG0003202	OG0003202	Hsap__GeneID_10783, Hsap__GeneID_140609	one-to-many	Cele__WBGene00008956	one-to-one		no direct pairwise orthologue detected	Mmus__GeneID_59125, Mmus__GeneID_59126	one-to-many	Xlae__GeneID_100036860, Xlae__GeneID_414882	one-to-many	shared HOG	2	1	1	1	1	0	2	2
Shae__MS3_00003923	Shae__MS3_00003923	matched	OG0000474	OG0000474	Hsap__GeneID_5578, Hsap__GeneID_5579, Hsap__GeneID_5580, Hsap__GeneID_5582, Hsap__GeneID_5588	many-to-many	Cele__WBGene00004033, Cele__WBGene00006599	many-to-many	Dmel__GeneID_36897, Dmel__GeneID_48311	many-to-many	Mmus__GeneID_18750, Mmus__GeneID_18751, Mmus__GeneID_18752, Mmus__GeneID_18753, Mmus__GeneID_18761	many-to-many	Xlae__GeneID_108696776, Xlae__GeneID_108697820, Xlae__GeneID_108701647, Xlae__GeneID_108702159, Xlae__GeneID_108703204, Xlae__GeneID_108711231, Xlae__GeneID_404226, Xlae__GeneID_404227, Xlae__GeneID_447031	many-to-many	shared HOG	5	2	2	1	2	2	5	9
Shae__MS3_00003948	Shae__MS3_00003948	matched	OG0000749	OG0000749	Hsap__GeneID_1195, Hsap__GeneID_1196, Hsap__GeneID_1198, Hsap__GeneID_57396	many-to-many	Cele__WBGene00006517	many-to-one	Dmel__GeneID_43415	many-to-one	Mmus__GeneID_102414, Mmus__GeneID_105943584, Mmus__GeneID_12747, Mmus__GeneID_12748, Mmus__GeneID_12750	many-to-many	Xlae__GeneID_100049134, Xlae__GeneID_100101302, Xlae__GeneID_108712973, Xlae__GeneID_379763, Xlae__GeneID_734822	many-to-many	shared HOG	4	1	2	2	2	1	5	5
