Orthogroup	Cele	Dmel	Hsap	Mmus	Shae	Sjap	Sman	Xlae	Matched_candidates
OG0000470	Cele__WBGene00000900	Dmel__GeneID_41772, Dmel__GeneID_44096	Hsap__GeneID_269, Hsap__GeneID_659, Hsap__GeneID_7048, Hsap__GeneID_92, Hsap__GeneID_93	Mmus__GeneID_110542, Mmus__GeneID_11480, Mmus__GeneID_11481, Mmus__GeneID_12168, Mmus__GeneID_21813	Shae__MS3_00007339	Sjap__EWB00_001228	Sman__Smp_334370	Xlae__GeneID_108701455, Xlae__GeneID_108702885, Xlae__GeneID_108709904, Xlae__GeneID_108718935, Xlae__GeneID_108719963, Xlae__GeneID_121400055, Xlae__GeneID_373815, Xlae__GeneID_397859, Xlae__GeneID_397981, Xlae__GeneID_399277, Xlae__GeneID_399283, Xlae__GeneID_495087	Shae__MS3_00007339, Sjap__EWB00_001228, Sman__Smp_334370
OG0000474	Cele__WBGene00004033, Cele__WBGene00006599	Dmel__GeneID_36897, Dmel__GeneID_48311	Hsap__GeneID_5578, Hsap__GeneID_5579, Hsap__GeneID_5580, Hsap__GeneID_5582, Hsap__GeneID_5588	Mmus__GeneID_18750, Mmus__GeneID_18751, Mmus__GeneID_18752, Mmus__GeneID_18753, Mmus__GeneID_18761	Shae__MS3_00003400, Shae__MS3_00003923	Sjap__EWB00_009358	Sman__Smp_128480, Sman__Smp_241420	Xlae__GeneID_108696776, Xlae__GeneID_108697820, Xlae__GeneID_108701647, Xlae__GeneID_108702159, Xlae__GeneID_108703204, Xlae__GeneID_108711231, Xlae__GeneID_404226, Xlae__GeneID_404227, Xlae__GeneID_447031	Shae__MS3_00003400, Shae__MS3_00003923, Sjap__EWB00_009358, Sman__Smp_128480, Sman__Smp_241420
OG0000486	Cele__WBGene00004855, Cele__WBGene00006803	Dmel__GeneID_32746, Dmel__GeneID_38418	Hsap__GeneID_51332, Hsap__GeneID_57731, Hsap__GeneID_6710, Hsap__GeneID_6711, Hsap__GeneID_6712	Mmus__GeneID_20741, Mmus__GeneID_20742, Mmus__GeneID_20743, Mmus__GeneID_640524, Mmus__GeneID_80297	Shae__MS3_00006229, Shae__MS3_00008194	Sjap__EWB00_004137, Sjap__EWB00_010727	Sman__Smp_128920, Sman__Smp_143470	Xlae__GeneID_108698614, Xlae__GeneID_108698979, Xlae__GeneID_108699197, Xlae__GeneID_108700575, Xlae__GeneID_108715130, Xlae__GeneID_108716412, Xlae__GeneID_108717395, Xlae__GeneID_398511	Shae__MS3_00006229, Shae__MS3_00008194, Sjap__EWB00_004137, Sjap__EWB00_010727, Sman__Smp_128920, Sman__Smp_143470
OG0000522	Cele__WBGene00008311, Cele__WBGene00011352	Dmel__GeneID_33139	Hsap__GeneID_27330, Hsap__GeneID_6195, Hsap__GeneID_6196, Hsap__GeneID_6197, Hsap__GeneID_8986, Hsap__GeneID_9252	Mmus__GeneID_110651, Mmus__GeneID_20111, Mmus__GeneID_20112, Mmus__GeneID_56613, Mmus__GeneID_67071, Mmus__GeneID_73086	Shae__MS3_00010396	Sjap__EWB00_002194	Sman__Smp_340300	Xlae__GeneID_100037253, Xlae__GeneID_108698451, Xlae__GeneID_108698712, Xlae__GeneID_108700150, Xlae__GeneID_108709331, Xlae__GeneID_108717877, Xlae__GeneID_399376, Xlae__GeneID_443729, Xlae__GeneID_445821	Shae__MS3_00010396, Sjap__EWB00_002194, Sman__Smp_340300
OG0000544	Cele__WBGene00001708	Dmel__GeneID_49045	Hsap__GeneID_131890, Hsap__GeneID_2868, Hsap__GeneID_2869, Hsap__GeneID_2870, Hsap__GeneID_6011	Mmus__GeneID_14772, Mmus__GeneID_14773, Mmus__GeneID_24013, Mmus__GeneID_26385	Shae__MS3_00005588	Sjap__EWB00_010483	Sman__Smp_123640	Xlae__GeneID_100192358, Xlae__GeneID_100192359, Xlae__GeneID_108696022, Xlae__GeneID_108697324, Xlae__GeneID_108711651, Xlae__GeneID_108712671, Xlae__GeneID_443726, Xlae__GeneID_446831, Xlae__GeneID_447337, Xlae__GeneID_474158, Xlae__GeneID_733223, Xlae__GeneID_733256	Shae__MS3_00005588, Sman__Smp_123640
OG0000547	Cele__WBGene00003930	Dmel__GeneID_44885	Hsap__GeneID_3688, Hsap__GeneID_3689, Hsap__GeneID_3690, Hsap__GeneID_3693, Hsap__GeneID_3694, Hsap__GeneID_3695	Mmus__GeneID_16412, Mmus__GeneID_16414, Mmus__GeneID_16415, Mmus__GeneID_16416, Mmus__GeneID_16419, Mmus__GeneID_16420, Mmus__GeneID_16421	Shae__MS3_00009865	Sjap__EWB00_002869	Sman__Smp_089700	Xlae__GeneID_108702890, Xlae__GeneID_108708650, Xlae__GeneID_378686, Xlae__GeneID_379708, Xlae__GeneID_397699, Xlae__GeneID_397755, Xlae__GeneID_399443, Xlae__GeneID_446423	Shae__MS3_00009865, Sjap__EWB00_002869, Sman__Smp_089700
OG0000574	Cele__WBGene00001184, Cele__WBGene00002195, Cele__WBGene00020106	Dmel__GeneID_39564, Dmel__GeneID_42160, Dmel__GeneID_43026	Hsap__GeneID_2260, Hsap__GeneID_2261, Hsap__GeneID_2263, Hsap__GeneID_2264	Mmus__GeneID_14182, Mmus__GeneID_14183, Mmus__GeneID_14184, Mmus__GeneID_14186	Shae__MS3_00006334	Sjap__EWB00_008748	Sman__Smp_157300	Xlae__GeneID_108697372, Xlae__GeneID_397701, Xlae__GeneID_397782, Xlae__GeneID_398181, Xlae__GeneID_399325, Xlae__GeneID_399347, Xlae__GeneID_399444, Xlae__GeneID_779370	Shae__MS3_00006334, Sjap__EWB00_008748, Sman__Smp_157300
OG0000625	Cele__WBGene00000228	Dmel__GeneID_31166	Hsap__GeneID_81, Hsap__GeneID_87, Hsap__GeneID_88, Hsap__GeneID_89	Mmus__GeneID_109711, Mmus__GeneID_11472, Mmus__GeneID_11474, Mmus__GeneID_60595	Shae__MS3_00006657, Shae__MS3_00006934	Sjap__EWB00_006050, Sjap__EWB00_010649	Sman__Smp_014780, Sman__Smp_034550	Xlae__GeneID_108715125, Xlae__GeneID_399422, Xlae__GeneID_431885, Xlae__GeneID_432169, Xlae__GeneID_446326, Xlae__GeneID_446752, Xlae__GeneID_446865, Xlae__GeneID_734930	Shae__MS3_00006657, Shae__MS3_00006934, Sjap__EWB00_006050, Sjap__EWB00_010649, Sman__Smp_014780, Sman__Smp_034550
OG0000643	Cele__WBGene00006794, Cele__WBGene00302980	Dmel__GeneID_32861, Dmel__GeneID_37841	Hsap__GeneID_1072, Hsap__GeneID_1073, Hsap__GeneID_11034, Hsap__GeneID_729454	Mmus__GeneID_12631, Mmus__GeneID_12632, Mmus__GeneID_56431	Shae__MS3_00004398, Shae__MS3_00005166	Sjap__EWB00_003359, Sjap__EWB00_008807	Sman__Smp_086590, Sman__Smp_120700, Sman__Smp_195080	Xlae__GeneID_108699719, Xlae__GeneID_108716609, Xlae__GeneID_379172, Xlae__GeneID_379258, Xlae__GeneID_379282, Xlae__GeneID_494995	Shae__MS3_00004398, Shae__MS3_00005166, Sjap__EWB00_003359, Sjap__EWB00_008807, Sman__Smp_086590, Sman__Smp_120700, Sman__Smp_195080
OG0000685	Cele__WBGene00003396, Cele__WBGene00006971, Cele__WBGene00013643	Dmel__GeneID_318725, Dmel__GeneID_39659, Dmel__GeneID_42692	Hsap__GeneID_11035, Hsap__GeneID_51776, Hsap__GeneID_6885	Mmus__GeneID_26409, Mmus__GeneID_56532, Mmus__GeneID_65964	Shae__MS3_00003104	Sjap__EWB00_009781	Sman__Smp_058790	Xlae__GeneID_101027300, Xlae__GeneID_108699326, Xlae__GeneID_108699327, Xlae__GeneID_108702997, Xlae__GeneID_108715017, Xlae__GeneID_379399, Xlae__GeneID_399459, Xlae__GeneID_733239	Shae__MS3_00003104, Sjap__EWB00_009781, Sman__Smp_058790
OG0000688	Cele__WBGene00004186	Dmel__GeneID_38032	Hsap__GeneID_8899	Mmus__GeneID_19134	Shae__MS3_00001951, Shae__MS3_00003055, Shae__MS3_00007562, Shae__MS3_00009564, Shae__MS3_00010846	Sjap__EWB00_003564, Sjap__EWB00_005988, Sjap__EWB00_006315, Sjap__EWB00_006316, Sjap__EWB00_009259, Sjap__EWB00_011195	Sman__Smp_068960, Sman__Smp_153090, Sman__Smp_159520, Sman__Smp_170980, Sman__Smp_302310, Sman__Smp_347770	Xlae__GeneID_100037169, Xlae__GeneID_495151	Sjap__EWB00_006315, Sman__Smp_068960
OG0000730	Cele__WBGene00001132, Cele__WBGene00004112, Cele__WBGene00014262	Dmel__GeneID_246501, Dmel__GeneID_326182, Dmel__GeneID_32656, Dmel__GeneID_35393, Dmel__GeneID_36740	Hsap__GeneID_10611, Hsap__GeneID_11155, Hsap__GeneID_9260	Mmus__GeneID_24131, Mmus__GeneID_56376, Mmus__GeneID_67399	Shae__MS3_00006333	Sjap__EWB00_008747	Sman__Smp_157310	Xlae__GeneID_100101292, Xlae__GeneID_108696280, Xlae__GeneID_108710972, Xlae__GeneID_379929, Xlae__GeneID_447619	Shae__MS3_00006333, Sjap__EWB00_008747, Sman__Smp_157310
OG0000749	Cele__WBGene00006517	Dmel__GeneID_43415	Hsap__GeneID_1195, Hsap__GeneID_1196, Hsap__GeneID_1198, Hsap__GeneID_57396	Mmus__GeneID_102414, Mmus__GeneID_105943584, Mmus__GeneID_12747, Mmus__GeneID_12748, Mmus__GeneID_12750	Shae__MS3_00003948, Shae__MS3_00009620	Sjap__EWB00_001434, Sjap__EWB00_004179	Sman__Smp_058620, Sman__Smp_300910	Xlae__GeneID_100049134, Xlae__GeneID_100101302, Xlae__GeneID_108712973, Xlae__GeneID_379763, Xlae__GeneID_734822	Shae__MS3_00003948, Sjap__EWB00_004179, Sman__Smp_058620
OG0000767	Cele__WBGene00022048	Dmel__GeneID_42066	Hsap__GeneID_2316, Hsap__GeneID_2317, Hsap__GeneID_2318	Mmus__GeneID_192176, Mmus__GeneID_286940, Mmus__GeneID_68794	Shae__MS3_00005799, Shae__MS3_00007970	Sjap__EWB00_002775, Sjap__EWB00_006234	Sman__Smp_000100, Sman__Smp_317420	Xlae__GeneID_108699999, Xlae__GeneID_108704467, Xlae__GeneID_108705104, Xlae__GeneID_108715054, Xlae__GeneID_121393384, Xlae__GeneID_121393385, Xlae__GeneID_733321, Xlae__GeneID_734178	Shae__MS3_00005799, Shae__MS3_00007970, Sjap__EWB00_002775, Sjap__EWB00_006234, Sman__Smp_000100, Sman__Smp_317420
OG0000784			Hsap__GeneID_1289, Hsap__GeneID_1301, Hsap__GeneID_1302, Hsap__GeneID_50509	Mmus__GeneID_12814, Mmus__GeneID_12815, Mmus__GeneID_12831, Mmus__GeneID_53867	Shae__MS3_00001716, Shae__MS3_00010057	Sjap__EWB00_000274, Sjap__EWB00_001311	Sman__Smp_123830, Sman__Smp_196840	Xlae__GeneID_108699914, Xlae__GeneID_108700220, Xlae__GeneID_108711695, Xlae__GeneID_108713331, Xlae__GeneID_108714428, Xlae__GeneID_108715007, Xlae__GeneID_398739	Shae__MS3_00001716, Shae__MS3_00010057, Sjap__EWB00_000274, Sjap__EWB00_001311, Sman__Smp_123830, Sman__Smp_196840
