#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Act5C	EWB00_010398	6182.Q5DF69	6182.A0A4Z2DXN3	0	0	0	0	0	0.154	0.270	0.275	0.513
Act5C	EWB00_008857	6182.Q5DF69	6182.A0A4Z2DY79	0	0	0	0	0	0.506	0	0	0.506
Act5C	fyn-prov	6182.Q5DF69	6182.C1LGZ6	0	0	0	0	0	0.165	0.381	0.073	0.479
Act5C	EWB00_007426	6182.Q5DF69	6182.C1LJL2	0	0	0	0	0.135	0.743	0.687	0.117	0.930
Act5C	EWB00_003359	6182.Q5DF69	6182.C1LMR7	0	0	0	0	0.134	0.630	0.537	0.237	0.871
Act5C	tsr	6182.Q5DF69	6182.Q86ES4	0	0	0	0	0.134	0.630	0.537	0.237	0.871
Act5C	EWB00_010647	6182.Q5DF69	6182.Q5DHL6	0	0	0	0	0	0.652	0.687	0.105	0.893
EWB00_000274	EWB00_007322	6182.A0A4Z2DJH5	6182.A0A4Z2CUR2	0	0	0	0	0	0	0.504	0.066	0.516
EWB00_000274	EWB00_002869	6182.A0A4Z2DJH5	6182.A0A4Z2DAG8	0	0	0	0	0	0.157	0.394	0.118	0.510
EWB00_000274	EWB00_001328	6182.A0A4Z2DJH5	6182.A0A4Z2DG14	0	0	0	0	0	0.197	0.377	0.201	0.565
EWB00_000274	EWB00_001311	6182.A0A4Z2DJH5	6182.A0A4Z2DG67	0	0	0	0	0	0	0.860	0	0.860
EWB00_000274	EWB00_011039	6182.A0A4Z2DJH5	6182.A0A4Z2DN82	0	0	0	0	0	0.101	0.390	0.104	0.465
EWB00_000274	EWB00_002919	6182.A0A4Z2DJH5	6182.A0A4Z2DWJ9	0	0	0	0	0	0.101	0.390	0.104	0.465
EWB00_001102	EWB00_007322	6182.A0A4Z2DGT3	6182.A0A4Z2CUR2	0	0	0	0	0	0	0.504	0.066	0.516
EWB00_001102	EWB00_006200	6182.A0A4Z2DGT3	6182.A0A4Z2CZM0	0	0	0	0	0	0	0.860	0	0.860
EWB00_001102	EWB00_006201	6182.A0A4Z2DGT3	6182.A0A4Z2CZR4	0	0	0	0	0	0	0.860	0	0.860
EWB00_001102	EWB00_006199	6182.A0A4Z2DGT3	6182.A0A4Z2D0J4	0	0	0	0	0	0	0.946	0	0.946
EWB00_001102	EWB00_002869	6182.A0A4Z2DGT3	6182.A0A4Z2DAG8	0	0	0	0	0	0.157	0.394	0.118	0.510
EWB00_001102	EWB00_001328	6182.A0A4Z2DGT3	6182.A0A4Z2DG14	0	0	0	0	0	0.197	0.377	0.201	0.565
EWB00_001102	EWB00_011039	6182.A0A4Z2DGT3	6182.A0A4Z2DN82	0	0	0	0	0	0.101	0.390	0.104	0.465
EWB00_001102	EWB00_002919	6182.A0A4Z2DGT3	6182.A0A4Z2DWJ9	0	0	0	0	0	0.101	0.390	0.104	0.465
EWB00_001311	EWB00_007322	6182.A0A4Z2DG67	6182.A0A4Z2CUR2	0	0	0	0	0	0	0.504	0.066	0.516
EWB00_001311	EWB00_002869	6182.A0A4Z2DG67	6182.A0A4Z2DAG8	0	0	0	0	0	0.157	0.394	0.118	0.510
EWB00_001311	EWB00_001328	6182.A0A4Z2DG67	6182.A0A4Z2DG14	0	0	0	0	0	0.197	0.377	0.201	0.565
EWB00_001311	EWB00_011039	6182.A0A4Z2DG67	6182.A0A4Z2DN82	0	0	0	0	0	0.101	0.390	0.104	0.465
EWB00_001311	EWB00_002919	6182.A0A4Z2DG67	6182.A0A4Z2DWJ9	0	0	0	0	0	0.101	0.390	0.104	0.465
EWB00_001311	EWB00_000274	6182.A0A4Z2DG67	6182.A0A4Z2DJH5	0	0	0	0	0	0	0.860	0	0.860
EWB00_001328	EWB00_008239	6182.A0A4Z2DG14	6182.A0A4Z2CQY2	0	0	0	0	0	0.197	0.377	0.201	0.565
EWB00_001328	EWB00_007520	6182.A0A4Z2DG14	6182.A0A4Z2CUE7	0	0	0	0	0	0.146	0.367	0.225	0.544
EWB00_001328	EWB00_007322	6182.A0A4Z2DG14	6182.A0A4Z2CUR2	0	0	0	0	0.046	0	0.876	0.225	0.900
EWB00_001328	EWB00_007395	6182.A0A4Z2DG14	6182.A0A4Z2CUS5	0	0	0	0	0	0.197	0.377	0.201	0.565
EWB00_001328	EWB00_006200	6182.A0A4Z2DG14	6182.A0A4Z2CZM0	0	0	0	0	0	0.197	0.377	0.201	0.565
EWB00_001328	EWB00_006201	6182.A0A4Z2DG14	6182.A0A4Z2CZR4	0	0	0	0	0	0.197	0.377	0.201	0.565
EWB00_001328	EWB00_006199	6182.A0A4Z2DG14	6182.A0A4Z2D0J4	0	0	0	0	0	0.197	0.377	0.201	0.565
EWB00_001328	EWB00_004406	6182.A0A4Z2DG14	6182.A0A4Z2D5D6	0	0	0	0	0	0.146	0.367	0.225	0.544
EWB00_001328	EWB00_003146	6182.A0A4Z2DG14	6182.A0A4Z2D9E0	0	0	0	0	0	0	0	0.595	0.595
EWB00_001328	EWB00_002869	6182.A0A4Z2DG14	6182.A0A4Z2DAG8	0	0	0	0	0	0.311	0.771	0.277	0.875
EWB00_001328	EWB00_002741	6182.A0A4Z2DG14	6182.A0A4Z2DB14	0	0	0	0	0.149	0.322	0.876	0.207	0.935
EWB00_001328	fyn-prov	6182.A0A4Z2DG14	6182.C1LGZ6	0	0	0	0	0	0.146	0.367	0.225	0.544
EWB00_001328	EWB00_001311	6182.A0A4Z2DG14	6182.A0A4Z2DG67	0	0	0	0	0	0.197	0.377	0.201	0.565
EWB00_001328	EWB00_001102	6182.A0A4Z2DG14	6182.A0A4Z2DGT3	0	0	0	0	0	0.197	0.377	0.201	0.565
EWB00_001328	EWB00_000274	6182.A0A4Z2DG14	6182.A0A4Z2DJH5	0	0	0	0	0	0.197	0.377	0.201	0.565
EWB00_001328	EWB00_010449	6182.A0A4Z2DG14	6182.A0A4Z2DXL3	0	0	0	0	0	0.197	0.377	0.201	0.565
EWB00_001328	EWB00_010450	6182.A0A4Z2DG14	6182.A0A4Z2DXW2	0	0	0	0	0	0.197	0.377	0.201	0.565
EWB00_001328	EWB00_002919	6182.A0A4Z2DG14	6182.A0A4Z2DWJ9	0	0	0	0	0	0.647	0.771	0.426	0.949
EWB00_001328	EWB00_011039	6182.A0A4Z2DG14	6182.A0A4Z2DN82	0	0	0	0	0	0.647	0.884	0.426	0.974
EWB00_001408	EWB00_001618	6182.A0A4Z2DX44	6182.A0A4Z2DF74	0	0	0	0	0.112	0.842	0	0.238	0.883
EWB00_001408	EWB00_004876	6182.A0A4Z2DX44	6182.A0A4Z2DUG9	0	0	0	0	0	0.596	0	0.067	0.606
EWB00_001408	EWB00_004878	6182.A0A4Z2DX44	6182.A0A4Z2DUX1	0	0	0	0	0	0.596	0	0.067	0.606
EWB00_001408	Act5C	6182.A0A4Z2DX44	6182.Q5DF69	0	0	0	0	0	0.596	0	0.067	0.606
EWB00_001408	EWB00_002502	6182.A0A4Z2DX44	6182.Q71TT8	0	0	0	0	0	0.596	0	0.067	0.606
EWB00_001408	EWB00_008857	6182.A0A4Z2DX44	6182.A0A4Z2DY79	0	0	0	0	0.090	0.596	0	0.067	0.627
EWB00_001408	EWB00_010647	6182.A0A4Z2DX44	6182.Q5DHL6	0	0	0	0	0	0.278	0.724	0.339	0.856
EWB00_001408	EWB00_007426	6182.A0A4Z2DX44	6182.C1LJL2	0	0	0	0	0.068	0.278	0.724	0.328	0.858
EWB00_001471	EWB00_009162	6182.A0A4Z2DFS2	6182.A0A4Z2CMV9	0	0	0	0	0	0.165	0.282	0.086	0.404
EWB00_001471	EWB00_007520	6182.A0A4Z2DFS2	6182.A0A4Z2CUE7	0	0	0.162	0.664	0	0.657	0.394	0.071	0.816
EWB00_001471	EWB00_007322	6182.A0A4Z2DFS2	6182.A0A4Z2CUR2	0	0	0	0	0	0.248	0.379	0	0.513
EWB00_001471	EWB00_006505	6182.A0A4Z2DFS2	6182.A0A4Z2CYG9	0	0	0	0	0	0.097	0.387	0.043	0.423
EWB00_001471	EWB00_004965	6182.A0A4Z2DFS2	6182.A0A4Z2D4A5	0	0	0	0	0	0.116	0.449	0.043	0.493
EWB00_001471	EWB00_004406	6182.A0A4Z2DFS2	6182.A0A4Z2D5D6	0	0	0	0	0	0.657	0.394	0.071	0.790
EWB00_001471	EWB00_003565	6182.A0A4Z2DFS2	6182.A0A4Z2D923	0	0	0	0	0	0.104	0.356	0.049	0.403
EWB00_001471	EWB00_003146	6182.A0A4Z2DFS2	6182.A0A4Z2D9E0	0	0	0	0	0	0.097	0.387	0.043	0.423
EWB00_001471	EWB00_002869	6182.A0A4Z2DFS2	6182.A0A4Z2DAG8	0	0	0	0	0	0.133	0.425	0.105	0.514
EWB00_001471	EWB00_002741	6182.A0A4Z2DFS2	6182.A0A4Z2DB14	0	0	0	0	0	0.250	0.449	0.140	0.613
EWB00_001471	EWB00_006002	6182.A0A4Z2DFS2	6182.A0A4Z2DTC9	0	0	0	0	0	0.165	0.282	0.086	0.404
EWB00_001471	EWB00_004876	6182.A0A4Z2DFS2	6182.A0A4Z2DUG9	0	0	0	0	0	0.165	0.282	0.086	0.404
EWB00_001471	EWB00_004878	6182.A0A4Z2DFS2	6182.A0A4Z2DUX1	0	0	0	0	0	0.165	0.282	0.086	0.404
EWB00_001471	EWB00_008857	6182.A0A4Z2DFS2	6182.A0A4Z2DY79	0	0	0	0	0	0.165	0.282	0.086	0.404
EWB00_001471	EWB00_009161	6182.A0A4Z2DFS2	6182.C1L3T0	0	0	0	0	0	0.165	0.282	0.086	0.404
EWB00_001471	Act5C	6182.A0A4Z2DFS2	6182.Q5DF69	0	0	0	0	0	0.165	0.282	0.086	0.404
EWB00_001471	EWB00_002502	6182.A0A4Z2DFS2	6182.Q71TT8	0	0	0	0	0	0.165	0.282	0.086	0.404
EWB00_001471	EWB00_003429	6182.A0A4Z2DFS2	6182.A0A4Z2DWH7	0	0	0	0	0	0.127	0.335	0.104	0.434
EWB00_001471	EWB00_007426	6182.A0A4Z2DFS2	6182.C1LJL2	0	0	0	0	0	0.165	0.282	0.135	0.436
EWB00_001471	EWB00_010647	6182.A0A4Z2DFS2	6182.Q5DHL6	0	0	0	0	0	0.165	0.282	0.157	0.450
EWB00_001471	EWB00_011039	6182.A0A4Z2DFS2	6182.A0A4Z2DN82	0	0	0	0	0	0.123	0.387	0.066	0.454
EWB00_001471	EWB00_002919	6182.A0A4Z2DFS2	6182.A0A4Z2DWJ9	0	0	0	0	0	0.123	0.387	0.066	0.454
EWB00_001471	fyn-prov	6182.A0A4Z2DFS2	6182.C1LGZ6	0	0	0.156	0.728	0	0.657	0.394	0.071	0.815
EWB00_001618	TK3	6182.A0A4Z2DF74	6182.A0A2S1REI0	0	0	0	0	0.052	0.260	0	0.305	0.469
EWB00_001618	EWB00_009162	6182.A0A4Z2DF74	6182.A0A4Z2CMV9	0	0	0	0	0.042	0.506	0.396	0.144	0.722
EWB00_001618	EWB00_007520	6182.A0A4Z2DF74	6182.A0A4Z2CUE7	0	0	0	0	0	0.165	0.282	0.104	0.415
EWB00_001618	EWB00_007322	6182.A0A4Z2DF74	6182.A0A4Z2CUR2	0	0	0	0	0	0.228	0.373	0.201	0.579
EWB00_001618	EWB00_006505	6182.A0A4Z2DF74	6182.A0A4Z2CYG9	0	0	0	0	0	0.136	0.378	0.183	0.522
EWB00_001618	EWB00_006234	6182.A0A4Z2DF74	6182.A0A4Z2CZ44	0	0	0	0	0	0.129	0.283	0.182	0.444
EWB00_001618	EWB00_004406	6182.A0A4Z2DF74	6182.A0A4Z2D5D6	0	0	0	0	0	0.165	0.282	0.104	0.415
EWB00_001618	EWB00_003565	6182.A0A4Z2DF74	6182.A0A4Z2D923	0	0	0	0	0	0.257	0.298	0.066	0.470
EWB00_001618	EWB00_003146	6182.A0A4Z2DF74	6182.A0A4Z2D9E0	0	0	0	0	0	0.136	0.378	0.364	0.628
EWB00_001618	EWB00_002775	6182.A0A4Z2DF74	6182.A0A4Z2DBA8	0	0	0	0	0	0.129	0.283	0.182	0.444
EWB00_001618	fyn-prov	6182.A0A4Z2DF74	6182.C1LGZ6	0	0	0	0	0	0.165	0.282	0.104	0.415
EWB00_001618	EWB00_010649	6182.A0A4Z2DF74	6182.A0A4Z2DN32	0	0	0	0	0	0.249	0.305	0.155	0.520
EWB00_001618	EWB00_003429	6182.A0A4Z2DF74	6182.A0A4Z2DWH7	0	0	0	0	0	0.234	0.191	0.366	0.572
EWB00_001618	EWB00_006050	6182.A0A4Z2DF74	6182.A0A4Z2DTJ0	0	0	0	0	0	0.249	0.305	0.323	0.615
EWB00_001618	EWB00_003359	6182.A0A4Z2DF74	6182.C1LMR7	0	0	0	0	0.071	0.309	0.115	0.475	0.661
EWB00_001618	tsr	6182.A0A4Z2DF74	6182.Q86ES4	0	0	0	0	0.071	0.309	0.115	0.475	0.661
EWB00_001618	EWB00_009161	6182.A0A4Z2DF74	6182.C1L3T0	0	0	0	0	0.042	0.506	0.396	0.144	0.722
EWB00_001618	EWB00_008857	6182.A0A4Z2DF74	6182.A0A4Z2DY79	0	0	0	0	0.042	0.650	0.517	0.144	0.842
EWB00_001618	EWB00_001408	6182.A0A4Z2DF74	6182.A0A4Z2DX44	0	0	0	0	0.112	0.842	0	0.238	0.883
EWB00_001618	EWB00_006002	6182.A0A4Z2DF74	6182.A0A4Z2DTC9	0	0	0	0	0.137	0.506	0.396	0.611	0.886
EWB00_001618	Act5C	6182.A0A4Z2DF74	6182.Q5DF69	0	0	0	0	0.042	0.650	0.687	0.144	0.898
EWB00_001618	EWB00_004876	6182.A0A4Z2DF74	6182.A0A4Z2DUG9	0	0	0	0	0.042	0.655	0.771	0.144	0.926
EWB00_001618	EWB00_004878	6182.A0A4Z2DF74	6182.A0A4Z2DUX1	0	0	0	0	0.042	0.655	0.771	0.144	0.926
EWB00_001618	EWB00_002502	6182.A0A4Z2DF74	6182.Q71TT8	0	0	0	0	0.042	0.655	0.771	0.144	0.926
EWB00_002103	EWB00_007322	6182.A0A4Z2DDE8	6182.A0A4Z2CUR2	0	0	0	0	0	0	0	0.550	0.550
EWB00_002103	EWB00_006505	6182.A0A4Z2DDE8	6182.A0A4Z2CYG9	0	0	0	0	0	0	0	0.494	0.494
EWB00_002103	EWB00_006234	6182.A0A4Z2DDE8	6182.A0A4Z2CZ44	0	0	0	0	0	0.144	0	0.472	0.528
EWB00_002103	EWB00_004965	6182.A0A4Z2DDE8	6182.A0A4Z2D4A5	0	0	0	0	0	0.293	0.495	0.217	0.696
EWB00_002103	EWB00_004122	6182.A0A4Z2DDE8	6182.A0A4Z2D6I6	0	0	0	0	0.112	0.506	0	0.303	0.667
EWB00_002103	EWB00_003565	6182.A0A4Z2DDE8	6182.A0A4Z2D923	0	0	0	0	0.059	0.596	0	0.800	0.917
EWB00_002103	EWB00_003146	6182.A0A4Z2DDE8	6182.A0A4Z2D9E0	0	0	0	0	0	0	0	0.813	0.813
EWB00_002103	EWB00_002869	6182.A0A4Z2DDE8	6182.A0A4Z2DAG8	0	0	0	0	0	0.506	0.425	0.511	0.848
EWB00_002103	EWB00_002775	6182.A0A4Z2DDE8	6182.A0A4Z2DBA8	0	0	0	0	0	0.144	0	0.472	0.528
EWB00_002103	EWB00_010649	6182.A0A4Z2DDE8	6182.A0A4Z2DN32	0	0	0	0	0	0.128	0.339	0.233	0.519
EWB00_002103	EWB00_011039	6182.A0A4Z2DDE8	6182.A0A4Z2DN82	0	0	0	0	0.046	0.130	0.478	0.260	0.636
EWB00_002103	EWB00_002919	6182.A0A4Z2DDE8	6182.A0A4Z2DWJ9	0	0	0	0	0.046	0.130	0.478	0.260	0.636
EWB00_002103	EWB00_006050	6182.A0A4Z2DDE8	6182.A0A4Z2DTJ0	0	0	0	0	0	0.144	0.339	0.489	0.685
EWB00_002103	EWB00_003429	6182.A0A4Z2DDE8	6182.A0A4Z2DWH7	0	0	0	0	0	0	0	0.769	0.769
EWB00_002103	EWB00_009541	6182.A0A4Z2DDE8	6182.A0A4Z2DR60	0	0	0	0	0.175	0.797	0	0.808	0.965
EWB00_002103	EWB00_010398	6182.A0A4Z2DDE8	6182.A0A4Z2DXN3	0	0	0	0	0.091	0.929	0	0.821	0.987
EWB00_002502	EWB00_007520	6182.Q71TT8	6182.A0A4Z2CUE7	0	0	0	0	0	0.165	0.381	0.095	0.491
EWB00_002502	EWB00_007322	6182.Q71TT8	6182.A0A4Z2CUR2	0	0	0	0	0	0.264	0.396	0.139	0.583
EWB00_002502	EWB00_006505	6182.Q71TT8	6182.A0A4Z2CYG9	0	0	0	0	0	0.239	0.388	0.171	0.580
EWB00_002502	EWB00_006234	6182.Q71TT8	6182.A0A4Z2CZ44	0	0	0	0	0	0.308	0.394	0.319	0.689
EWB00_002502	EWB00_004965	6182.Q71TT8	6182.A0A4Z2D4A5	0	0	0	0	0	0.118	0.337	0.069	0.408
EWB00_002502	EWB00_004406	6182.Q71TT8	6182.A0A4Z2D5D6	0	0	0	0	0	0.165	0.381	0.095	0.491
EWB00_002502	EWB00_003565	6182.Q71TT8	6182.A0A4Z2D923	0	0	0	0	0	0.310	0.935	0.613	0.981
EWB00_002502	EWB00_003146	6182.Q71TT8	6182.A0A4Z2D9E0	0	0	0	0	0	0.310	0.428	0.480	0.776
EWB00_002502	EWB00_002869	6182.Q71TT8	6182.A0A4Z2DAG8	0	0	0	0	0	0.119	0.563	0.280	0.698
EWB00_002502	EWB00_002775	6182.Q71TT8	6182.A0A4Z2DBA8	0	0	0	0	0	0.308	0.394	0.319	0.689
EWB00_002502	EWB00_001618	6182.Q71TT8	6182.A0A4Z2DF74	0	0	0	0	0.042	0.655	0.771	0.144	0.926
EWB00_002502	EWB00_001471	6182.Q71TT8	6182.A0A4Z2DFS2	0	0	0	0	0	0.165	0.282	0.086	0.404
EWB00_002502	EWB00_010649	6182.Q71TT8	6182.A0A4Z2DN32	0	0	0	0	0.047	0.506	0.425	0.189	0.751
EWB00_002502	EWB00_011039	6182.Q71TT8	6182.A0A4Z2DN82	0	0	0	0	0	0.065	0.563	0.093	0.597
EWB00_002502	EWB00_006002	6182.Q71TT8	6182.A0A4Z2DTC9	0	0	0	0	0	0.687	0.517	0.186	0.866
EWB00_002502	EWB00_006050	6182.Q71TT8	6182.A0A4Z2DTJ0	0	0	0	0	0.071	0.574	0.771	0.403	0.938
EWB00_002502	EWB00_003429	6182.Q71TT8	6182.A0A4Z2DWH7	0	0	0	0	0	0.276	0.862	0.475	0.942
EWB00_002502	EWB00_002919	6182.Q71TT8	6182.A0A4Z2DWJ9	0	0	0	0	0	0.065	0.563	0.093	0.597
EWB00_002502	EWB00_001408	6182.Q71TT8	6182.A0A4Z2DX44	0	0	0	0	0	0.596	0	0.067	0.606
EWB00_002502	EWB00_010398	6182.Q71TT8	6182.A0A4Z2DXN3	0	0	0	0	0	0.154	0.319	0.399	0.623
EWB00_002502	EWB00_008857	6182.Q71TT8	6182.A0A4Z2DY79	0	0	0	0	0	0.634	0	0	0.634
EWB00_002502	fyn-prov	6182.Q71TT8	6182.C1LGZ6	0	0	0	0	0	0.165	0.381	0.095	0.491
EWB00_002502	EWB00_007426	6182.Q71TT8	6182.C1LJL2	0	0	0	0	0.135	0.822	0.885	0.117	0.982
EWB00_002502	EWB00_003359	6182.Q71TT8	6182.C1LMR7	0	0	0	0	0.134	0.687	0.658	0.351	0.931
EWB00_002502	EWB00_010647	6182.Q71TT8	6182.Q5DHL6	0	0	0	0	0	0.767	0.885	0.105	0.973
EWB00_002502	tsr	6182.Q71TT8	6182.Q86ES4	0	0	0	0	0.134	0.687	0.658	0.474	0.944
EWB00_002741	EWB00_007520	6182.A0A4Z2DB14	6182.A0A4Z2CUE7	0	0	0	0	0	0.250	0.373	0.240	0.611
EWB00_002741	EWB00_007322	6182.A0A4Z2DB14	6182.A0A4Z2CUR2	0	0	0	0	0	0	0.876	0.047	0.876
EWB00_002741	EWB00_004406	6182.A0A4Z2DB14	6182.A0A4Z2D5D6	0	0	0	0	0	0.250	0.373	0.240	0.611
EWB00_002741	EWB00_002869	6182.A0A4Z2DB14	6182.A0A4Z2DAG8	0	0	0	0	0	0.210	0.771	0.107	0.824
EWB00_002741	fyn-prov	6182.A0A4Z2DB14	6182.C1LGZ6	0	0	0	0	0	0.250	0.373	0.240	0.611
EWB00_002741	EWB00_001471	6182.A0A4Z2DB14	6182.A0A4Z2DFS2	0	0	0	0	0	0.250	0.449	0.140	0.613
EWB00_002741	EWB00_002919	6182.A0A4Z2DB14	6182.A0A4Z2DWJ9	0	0	0	0	0	0.194	0.771	0.070	0.813
EWB00_002741	EWB00_011039	6182.A0A4Z2DB14	6182.A0A4Z2DN82	0	0	0	0	0	0.194	0.819	0.070	0.852
EWB00_002741	EWB00_001328	6182.A0A4Z2DB14	6182.A0A4Z2DG14	0	0	0	0	0.149	0.322	0.876	0.207	0.935
EWB00_002775	EWB00_009162	6182.A0A4Z2DBA8	6182.A0A4Z2CMV9	0	0	0	0	0	0.147	0.359	0.355	0.616
EWB00_002775	EWB00_006505	6182.A0A4Z2DBA8	6182.A0A4Z2CYG9	0	0	0	0	0.193	0	0.395	0.359	0.659
EWB00_002775	EWB00_004965	6182.A0A4Z2DBA8	6182.A0A4Z2D4A5	0	0	0	0	0.043	0.260	0.395	0.075	0.550
EWB00_002775	EWB00_003565	6182.A0A4Z2DBA8	6182.A0A4Z2D923	0	0	0	0	0.218	0	0.462	0.652	0.840
EWB00_002775	EWB00_003146	6182.A0A4Z2DBA8	6182.A0A4Z2D9E0	0	0	0	0	0.201	0	0.507	0.660	0.854
EWB00_002775	EWB00_002869	6182.A0A4Z2DBA8	6182.A0A4Z2DAG8	0	0	0	0	0	0.594	0.658	0.141	0.870
EWB00_002775	EWB00_003359	6182.A0A4Z2DBA8	6182.C1LMR7	0	0	0	0	0	0.267	0	0.240	0.419
EWB00_002775	tsr	6182.A0A4Z2DBA8	6182.Q86ES4	0	0	0	0	0	0.267	0	0.240	0.419
EWB00_002775	EWB00_001618	6182.A0A4Z2DBA8	6182.A0A4Z2DF74	0	0	0	0	0	0.129	0.283	0.182	0.444
EWB00_002775	EWB00_006002	6182.A0A4Z2DBA8	6182.A0A4Z2DTC9	0	0	0	0	0	0.147	0.359	0.083	0.454
EWB00_002775	EWB00_002103	6182.A0A4Z2DBA8	6182.A0A4Z2DDE8	0	0	0	0	0	0.144	0	0.472	0.528
EWB00_002775	EWB00_010398	6182.A0A4Z2DBA8	6182.A0A4Z2DXN3	0	0	0	0	0.086	0.127	0	0.495	0.561
EWB00_002775	EWB00_008857	6182.A0A4Z2DBA8	6182.A0A4Z2DY79	0	0	0	0	0	0.255	0.384	0.142	0.571
EWB00_002775	EWB00_009161	6182.A0A4Z2DBA8	6182.C1L3T0	0	0	0	0	0	0.147	0.359	0.355	0.616
EWB00_002775	Act5C	6182.A0A4Z2DBA8	6182.Q5DF69	0	0	0	0	0	0.280	0.392	0.224	0.630
EWB00_002775	EWB00_003429	6182.A0A4Z2DBA8	6182.A0A4Z2DWH7	0	0	0	0	0.089	0.132	0	0.583	0.641
EWB00_002775	EWB00_004876	6182.A0A4Z2DBA8	6182.A0A4Z2DUG9	0	0	0	0	0	0.308	0.394	0.319	0.689
EWB00_002775	EWB00_004878	6182.A0A4Z2DBA8	6182.A0A4Z2DUX1	0	0	0	0	0	0.308	0.394	0.319	0.689
EWB00_002775	EWB00_002502	6182.A0A4Z2DBA8	6182.Q71TT8	0	0	0	0	0	0.308	0.394	0.319	0.689
EWB00_002775	EWB00_011039	6182.A0A4Z2DBA8	6182.A0A4Z2DN82	0	0	0	0	0.059	0.584	0.658	0.068	0.858
EWB00_002775	EWB00_002919	6182.A0A4Z2DBA8	6182.A0A4Z2DWJ9	0	0	0	0	0.059	0.584	0.658	0.068	0.858
EWB00_002869	EWB00_008239	6182.A0A4Z2DAG8	6182.A0A4Z2CQY2	0	0	0	0	0	0.157	0.394	0.118	0.510
EWB00_002869	EWB00_007520	6182.A0A4Z2DAG8	6182.A0A4Z2CUE7	0	0	0	0	0	0.233	0.563	0.183	0.702
EWB00_002869	EWB00_007322	6182.A0A4Z2DAG8	6182.A0A4Z2CUR2	0	0	0	0	0.045	0.656	0.771	0.367	0.946
EWB00_002869	EWB00_007395	6182.A0A4Z2DAG8	6182.A0A4Z2CUS5	0	0	0	0	0	0.157	0.394	0.118	0.510
EWB00_002869	EWB00_006747	6182.A0A4Z2DAG8	6182.A0A4Z2CWY6	0	0	0	0	0	0.310	0.425	0.169	0.641
EWB00_002869	EWB00_006505	6182.A0A4Z2DAG8	6182.A0A4Z2CYG9	0	0	0	0	0	0.622	0.517	0.248	0.850
EWB00_002869	EWB00_006234	6182.A0A4Z2DAG8	6182.A0A4Z2CZ44	0	0	0	0	0	0.594	0.658	0.141	0.870
EWB00_002869	EWB00_006200	6182.A0A4Z2DAG8	6182.A0A4Z2CZM0	0	0	0	0	0	0.157	0.394	0.118	0.510
