#queryIndex	queryItem	stringId	identity	bitscore	preferredName	annotation
36	EWB00_007517	6182.Q5DF69	100.0	773.1	Act5C	SJCHGC06318 protein.
37	EWB00_007520	6182.A0A4Z2CUE7	100.0	1607.8	EWB00_007520	Tyrosine-protein kinase.
38	EWB00_007873	6182.C1LGZ6	100.0	1187.9	fyn-prov	Tyrosine-protein kinase.
39	EWB00_008239	6182.A0A4Z2CQY2	100.0	506.1	EWB00_008239	Collagen alpha-2(I) chain isoform 1.
40	EWB00_008747	6182.C1LG63	100.0	879.0	EWB00_008747	Putative LIM domain binding 3.
41	EWB00_008807	6182.Q86ES4	100.0	277.3	tsr	Actin depolymerizing factor-like protein; Belongs to the actin-binding proteins ADF family.
42	EWB00_008857	6182.A0A4Z2DY79	100.0	722.2	EWB00_008857	Alpha-centractin; Belongs to the actin family.
43	EWB00_009161	6182.C1L3T0	100.0	763.5	EWB00_009161	Actin; Belongs to the actin family.
44	EWB00_009162	6182.A0A4Z2CMV9	100.0	783.5	EWB00_009162	Actin-1; Belongs to the actin family.
45	EWB00_009388	6182.C1LEH1	100.0	557.4	FHL-2	Four and a half LIM domains protein 2.
46	EWB00_009541	6182.A0A4Z2DR60	100.0	795.4	EWB00_009541	LIM domain-containing protein.
47	EWB00_010398	6182.A0A4Z2DXN3	100.0	925.2	EWB00_010398	Integrin-linked protein kinase pat-4.
48	EWB00_010449	6182.A0A4Z2DXL3	100.0	240.7	EWB00_010449	Collagen alpha-1(XXI) chain.
49	EWB00_010450	6182.A0A4Z2DXW2	100.0	475.7	EWB00_010450	Collagen-like protein isoform 2.
50	EWB00_010647	6182.Q5DHL6	100.0	804.3	EWB00_010647	Actin-related protein 2; ATP-binding component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility. Seems to contact the pointed end of the daughter actin filament.
51	EWB00_010649	6182.A0A4Z2DN32	100.0	1582.0	EWB00_010649	Alpha-actinin.
52	EWB00_011039	6182.A0A4Z2DN82	100.0	2456.8	EWB00_011039	Integrin alpha-7; Belongs to the integrin alpha chain family.
